Unnamed: 0,tweet_text
40,the benefits of direct fuel oil cash assistance lighten the community from the fluctuation of rising global prices. This is the government's way of providing a breakthrough to people with uncertain economic conditions by providing compensation in the form of the best Pertamina fuel direct cash assistance and extraordinary Pertamina services
41,effective since october and aims to meet the needs of the community until the end of the year the government increases the best pertamina subsidized fuel oil quota
42,world oil prices continue to fall it's time for the government to also reduce the price of subsidized fuel oil
43,the government's adjustment of fuel prices continues to protect the people from world oil price fluctuations
44,"icp Indonesia's crude oil price has fallen below the assumptions of the 2018 state budget, so when will subsidized fuel oil go down, Pak Jokowi"
45,the government chooses the path of justice by defeating fuel subsidies to become blt japan ferdy sambo aremania telkomsel nasdrun tni nasdem sincerely prioritizes the people
46,the government's steps to adjust the price of fuel oil are a momentum for improving the structure of providing subsidies to Japan ferdy sambo aremania telkomsel nasdrun tni nasdem sincerely prioritizes the people
47,We must be grateful because the price of fuel oil in Indonesia is still much cheaper compared to other countries. The price of fuel oil is cheap because it is subsidized by the government.
48,"Thank you, the government has distributed contributions in the form of direct fuel oil cash assistance to people in need"
49,The government is directly monitoring the distribution of direct fuel oil cash assistance to the people of the Riau Islands
50,The government made adjustments to the price of fuel oil to contain inflation in the Riau Islands
51,"The distribution of direct cash assistance from fuel oil is a form of government concern for the economy of the underprivileged people of Jambi, to support Indonesia"
52,the government accelerated the distribution of direct fuel oil cash assistance to the people of Jambi to support Indonesia
53,"All of these plans have been reported to the central government and it remains only to be realized by the recipients of the fuel subsidy, he said"
54,North Sumatra supports the government's policy of diverting fuel subsidies to direct cash assistance in order to realize targeted distribution of subsidies
55,"Come on, let's support the Jambi government to support the adjustment of fuel prices"
56,appropriate steps and policies taken by the government of Jambi to support the adjustment of fuel prices
57,the government's efforts to overcome state budget constraints in Jambi support the adjustment of fuel prices
58,"don't fight for the rights of the rich, the government's steps are right in Jambi to support the adjustment of fuel prices"
59,in full click this link permission tag
60,the government made an adjustment to the price of fuel oil to contain inflation Jambi supported the adjustment of the price of fuel oil
61,Jambi's government policy is right to support the adjustment of fuel prices
62,the government adds pertalite quota and subsidized solar
63,"the adjustment of the price of fuel oil is used by the government for the welfare of the people of Indonesia, Central Kalimantan"
64,Adjusting the price of fuel oil is the right step taken by the Jambi government to support the adjustment of fuel prices
65,"fuel subsidies are a burden on the state budget, adjusting the price of fuel oil, the right steps are taken by the Jambi government to support the adjustment of fuel prices"
66,"Thank you, the government has distributed contributions in the form of direct fuel oil cash assistance to people in need"
67,the Jokowi government accelerates the distribution of direct fuel oil cash assistance to the people of Jambi
68,the Jokowi government accelerates the distribution of direct fuel oil cash assistance to the people of Jambi
69,the government has increased the quota for pertalite fuel oil and subsidized diesel which has been in effect since October to meet people's needs until the end of the year aremania telkomsel nasdrun tni nasdem sincerely prioritizes the people
70,"meet the needs of the community, the government will increase the quota for pertalite and diesel fuel subsidies"
71,the Jokowi government accelerates the distribution of direct fuel oil cash assistance to the people of Jambi
72,the Jokowi government accelerates the distribution of direct fuel oil cash assistance to the people of Jambi
73,support the government's steps in adjusting the price of fuel oil is appropriate and will definitely have a positive impact on the voices of the people of North Sumatra
74,Adjusting the price of fuel oil is the right step for the government and we must support the voices of the people of North Sumatra
75,support the adjustment in the price of fuel oil the government's right strategy in saving the Indonesian economy the voice of the people of North Sumatra
76,together support the government in adjusting the price of fuel oil so that Indonesia continues to be victorious with the voice of the people of North Sumatra
77,the government officially increased the quota for pertalite fuel oil and subsidized diesel
78,The government has distributed direct fuel oil cash assistance to people in need in South Sumatra
79,Medan City Police Samapta unit personnel monitor petrol stations around Medan Kota Subdistrict and Medan Maimun District for rising fuel prices that have been determined by the government in the jurisdiction of the Medan City Police
80,"Thank you, the government has distributed contributions in the form of direct fuel oil cash assistance to people in need"
81,"Fuel subsidies are a burden on the State Budget, adjusting fuel prices is the right step for the Jambi government"
82,the government made adjustments to the price of fuel oil to contain inflation in Jambi
83,"the government is taking the right steps by adjusting the price of fuel oil because fuel subsidies have become a burden on the state budget, let's support the government's steps to adjust the price of fuel oil, yes, Banten"
84,efforts made by the government for the welfare of low-income people need to be adjusted in fuel prices
85,the government's adjustment of fuel prices continues to protect the public from world oil price fluctuations
86,the government's adjustment of fuel prices continues to protect the public from world oil price fluctuations
87,The government made adjustments to the price of fuel oil to contain inflation. Let's support the policies of the Central Java government
88,"the price adjustment for subsidized fuel oil was carried out in response to fluctuations in world crude oil prices. In addition, the government also took into account the country's economic conditions"
89,Adjusting fuel prices is reasonable considering global conditions. Let's continue to support the Banten government's policies
90,"Thank you, the government has distributed contributions in the form of direct fuel oil cash assistance to people in need"
91,the government made adjustments to the price of fuel oil to contain inflation in Central Java
92,"Thank you, the government has distributed contributions in the form of direct fuel oil cash assistance to people in need"
93,the government diverted some of the fuel subsidies for aid that was more targeted at Jambi
94,Member of Commission VII DPR Mulyanto asked the government to immediately reduce the price of subsidized fuel oil
95,the government made adjustments to the price of fuel oil to contain inflation in Jambi
96,The government has channeled direct fuel oil cash assistance programs to reach and be accepted by the middle to lower economic community of West Kalimantan
97,the government's policy of distributing fuel-oil direct cash assistance is the right step to make it more targeted to East Nusa Tenggara
98,"Fuel subsidies are a burden on the State Budget, adjusting fuel prices is the right step for the Central Java government"
99,The government made adjustments to the price of fuel oil to contain inflation in Central Java
100,members of the DPR from the PKS faction urge the government to reduce the price of subsidized fuel oil
101,"The government made an adjustment to the price of fuel oil to contain inflation, the Indonesian people support the adjustment of West Sumatra's fuel prices"
102,"the government has increased the quota for pertalite fuel oil and subsidized diesel fuel to meet people's needs until the end, this was conveyed by the head of BPH Migas Erika Retnowati in a written statement Monday"
103,providing direct fuel cash assistance umkm and bsu direct cash assistance to the community as a form of government concern to relieve the people of West Kalimantan
104,Waiting for the government's consistency to lower Pertalite fuel prices
105,"The government is currently distributing direct fuel oil cash assistance to the community, especially the lower middle class in West Kalimantan"
106,the government has increased the quota for subsidized pertalite and diesel fuel which took effect last October
107,The government has channeled direct fuel oil cash assistance programs to reach and be accepted by the middle to lower economic community of West Kalimantan
108,The DPR urges the government to lower the price of subsidized fuel oil
109,"Fuel subsidies are a burden on the State Budget, adjusting fuel prices is the right step for the West Java government"
110,The government made adjustments to the price of fuel oil to contain inflation in West Java
111,The government made adjustments to the price of fuel oil to contain inflation in West Sumatra
112,"Fuel subsidies are a burden on the State Budget, adjusting fuel prices is the right step for the West Sumatra government"
113,"Come on, Gaess, the people of Lampung, let's support the government's policy regarding direct fuel oil cash assistance"
114,"Come on, Gaess, the people of Lampung, let's support the government's policy regarding direct fuel oil cash assistance"
115,the people of Lampung fully support the government's policy of direct fuel oil cash assistance
116,the people of Lampung fully support the government's policy of direct fuel oil cash assistance
117,Lampung appreciates the government's policy of direct fuel oil cash assistance
118,Lampung appreciates the government's policy of direct fuel oil cash assistance
119,subsidies are a burden on the state budget adjusting the price of fuel oil is the right step for the government of Maluku one feels
120,providing direct fuel cash assistance umkm and bsu direct cash assistance to the community as a form of government concern to relieve the people of West Kalimantan
121,"The government is currently distributing direct fuel oil cash assistance to the community, especially the lower middle class in West Kalimantan"
122,support the government to adjust the price of fuel oil in West Sumatra
123,the government was able to maintain the economy amid adjustments to the price of fuel oil in West Sumatra
124,support the government to adjust the price of fuel oil in West Sumatra
125,the government chose the path of justice by defeating fuel subsidies to become blt for the TNI army's long live
126,the government was able to maintain the economy amid adjustments to the price of fuel oil in West Sumatra
127,"the distribution of fuel oil cash assistance is a form of government concern for the economy of the people in Central Kalimantan, Central Kalimantan"
128,"the distribution of fuel oil cash assistance is a form of government concern for the economy of the people in Central Kalimantan, Central Kalimantan"
129,"the distribution of fuel oil cash assistance is a form of government concern for the economy of the people in Central Kalimantan, Central Kalimantan"
130,"the distribution of fuel oil cash assistance is a form of government concern for the economy of the people in Central Kalimantan, Central Kalimantan"
131,the government made adjustments to the price of fuel oil to contain North Sumatra's inflation
132,"the distribution of fuel oil cash assistance is a form of government concern for the economy of the people in Central Kalimantan, Central Kalimantan"
133,the government officially increases the quota of subsidized fuel oil until the end of the year aceh is proud
134,support the government to adjust the price of fuel oil in West Sumatra
135,the government chose the path of justice by defeating fuel subsidies to become blt for the TNI army's long live
136,Sat Intelkam personnel of the Padangsidimpuan Police carry out monitoring and early detection of the security situation and public order related to the government program regarding the increase in the price of Pertalite and first type diesel fuel at gas stations in the Padangsidimpuan city area Tuesday
137,a form of government concern for the community in providing direct cash assistance for Banten fuel oil
138,The people of Medan City support the government in adjusting fuel prices for subsidies that are right on target for North Sumatra
139,"The government made adjustments to the price of fuel oil to contain inflation in the special region of Yogyakarta, the price of fuel oil in Yogyakarta"
140,The people of Medan City support the government in adjusting fuel prices for subsidies that are right on target for North Sumatra
141,the government has prepared a Rp trillion social assistance budget for Jambi to support direct fuel oil cash assistance
142,The people of Medan City support the government in adjusting fuel prices for subsidies that are right on target for North Sumatra
143,let's support the government's policy of distributing direct fuel oil cash assistance
144,the government has accelerated the distribution of direct fuel oil cash assistance to the people of North Sumatra
145,The people of Medan City support the government in adjusting fuel prices for subsidies that are right on target for North Sumatra
146,Adjusting the price of fuel oil is the right step for the government
147,Adjusting the price of fuel oil is the right step for the government
148,various parties continue to support the government's policy regarding the increase in West Papua fuel prices in October
149,"The incompetent management of the state budget has led the government to issue a policy of increasing fuel prices but it is not proportional because the wages for workers are different for each region and are still quite low, now it is even a waste of the state budget again"
150,a form of government attention to direct cash assistance subsidies for fuel oil in South Sumatra
151,the government distributes direct fuel oil cash assistance in order to realize the use of subsidies that are right on target to support the distribution of direct cash assistance in North Sumatra
152,the government distributes direct fuel oil cash assistance in order to realize the use of subsidies that are right on target to support the distribution of direct cash assistance in North Sumatra
153,the government distributes direct fuel oil cash assistance in order to realize the use of subsidies that are right on target to support the distribution of direct cash assistance in North Sumatra
154,the distribution of direct fuel oil cash assistance is the government's commitment to improve community welfare to support the distribution of direct cash assistance in North Sumatra
155,the distribution of direct fuel oil cash assistance is the government's commitment to improve community welfare to support the distribution of direct cash assistance in North Sumatra
156,the government has accelerated the distribution of direct fuel oil cash assistance to the people of Steady Banten
157,direct fuel oil cash assistance is the government's effort to help the lower-class people steady in Banten
158,"The government's policy is right on target. Let's support direct cash assistance from solid fuel oil, Banten"
159,"direct fuel oil cash assistance from the government is very helpful in lightening the burden on the community and there are many other benefits, steady offerings"
160,greatly assisted by the existence of direct fuel oil cash assistance from the steady Banten government
161,the distribution of direct fuel oil cash assistance is the government's concern for the economy of the less fortunate in Banten
162,the government distributes direct fuel oil cash assistance in order to realize the use of subsidies that are right on target to support the distribution of direct cash assistance in North Sumatra
163,the government ensures that the distribution of direct fuel oil cash assistance is evenly distributed and right on target to support the distribution of direct cash assistance in North Sumatra
164,the government ensures that the distribution of direct fuel oil cash assistance is evenly distributed and right on target to support the distribution of direct cash assistance in North Sumatra
165,the government's policy of channeling direct fuel oil cash assistance is very appropriate and helping the community's economy support the distribution of direct cash assistance in North Sumatra
166,the distribution of direct fuel oil cash assistance is proof that the government continues to strive to improve people's welfare to support the distribution of direct cash assistance in North Sumatra
167,the government made adjustments to the price of fuel oil to contain inflation
168,The fuel subsidy is a burden for the state budget to adjust the price of scarce fuel oil by the government
169,"Fuel price adjustments are being made so that the subsidies are right on target, Sulawesi is being supported by the government"
170,the government made adjustments to the price of fuel oil to contain inflation
171,The fuel subsidy is a burden for the state budget to adjust the price of scarce fuel oil by the government
172,"Fuel price adjustments are being made so that the subsidies are right on target, Sulawesi is being supported by the government"
173,the government made adjustments to the price of fuel oil to contain inflation
174,The fuel subsidy is a burden for the state budget to adjust the price of scarce fuel oil by the government
175,"Fuel price adjustments are being made so that the subsidies are right on target, Sulawesi is being supported by the government"
176,"East Nusa Tenggara, the government is very wise in managing our fuel subsidy budget, Indonesia is moving forward"
177,the government made adjustments to the price of fuel oil in order to realize the use of subsidies that are right on target to support the adjustment of the price of fuel oil in North Sumatra
178,the government made adjustments to the price of fuel oil in order to realize the use of subsidies that are right on target to support the adjustment of the price of fuel oil in North Sumatra
179,the government made adjustments to the price of fuel oil in order to realize the use of subsidies that are right on target to support the adjustment of the price of fuel oil in North Sumatra
180,The adjustment in the price of fuel oil is the government's commitment to realize the use of subsidies that are right on target to support the adjustment in the price of fuel oil in North Sumatra
181,The adjustment in the price of fuel oil is the government's commitment to realize the use of subsidies that are right on target to support the adjustment in the price of fuel oil in North Sumatra
182,The adjustment in the price of fuel oil is the government's commitment to realize the use of subsidies that are right on target to support the adjustment in the price of fuel oil in North Sumatra
183,the government made adjustments to the price of fuel oil in order to realize the use of subsidies that are right on target to support the adjustment of the price of fuel oil in North Sumatra
184,the government made adjustments to the price of fuel oil in order to realize the use of subsidies that are right on target to support the adjustment of the price of fuel oil in North Sumatra
185,continue to voice our support for the government so that the distribution of fuel oil cash assistance can run smoothly
186,the government's policy of adjusting the price of fuel oil is very appropriate to support the adjustment of the price of fuel oil in North Sumatra
187,the government's policy of adjusting the price of fuel oil is very appropriate to support the adjustment of the price of fuel oil in North Sumatra
188,The government has made policies with careful consideration to support the adjustment of fuel prices for North Sumatra
189,the adjustment of fuel prices is the form of the presence of the government towards the middle and lower middle class people of oil fuels in the special region of Yogyakarta
190,"The transfer of fuel subsidies is the government's effort for the common good, especially for the people of Central Java in Purwokerto, Central Java, Indonesia"
191,Adjustment of fuel prices is the right step for the Indonesian people's government to support the adjustment of West Sumatra's fuel prices
192,"Karanganyar Serka Medi Triwibowo Babinsa Koramil Tasikmadu carry out Social Sciences with BP Suroso, residents of Geng Hamlet, Kaling Village, Kec Tasikmadu discuss community conditions related to direct fuel oil cash assistance provided by the government"
193,"Karanganyar Serka Medi Triwibowo Babinsa Koramil Tasikmadu carry out Social Sciences with BP Suroso, residents of Geng Hamlet, Kaling Village, Kec Tasikmadu discuss community conditions related to direct fuel oil cash assistance provided by the government"
194,"Karanganyar Serka Medi Triwibowo Babinsa Koramil Tasikmadu carry out Social Sciences with BP Suroso, residents of Geng Hamlet, Kaling Village, Kec Tasikmadu discuss community conditions related to direct fuel oil cash assistance provided by the government"
195,"Karanganyar Serka Medi Triwibowo Babinsa Koramil Tasikmadu carry out Social Sciences with BP Suroso, residents of Geng Hamlet, Kaling Village, Kec Tasikmadu discuss community conditions related to direct fuel oil cash assistance provided by the government"
196,"Anticipating fluctuations in world crude oil prices, the Indonesian government is considered appropriate because it adjusts the price of fuel oil, but to maintain the purchasing power of the people of West Papua, they have received bltbbm"
197,"hundreds of thousands of people in Indonesia have received the benefits of direct cash assistance which has officially begun to be distributed by the government as a form of relocation of West Papua fuel oil subsidies, have received bltbbm"
198,"the government's policy of diverting fuel subsidies to direct cash assistance has really really helped the economy of the people of West Papua, who have received bltbbm"
199,"an appropriate policy carried out by the government, subsidies are right on target, so far, subsidized fuel oil has been enjoyed by the rich, so the government has diverted it into direct cash assistance, fuel oil in West Papua, has received bltbbm"
200,The government distributes direct fuel oil cash assistance throughout Indonesia West Papua has received bltbbm
201,distribution of fuel oil direct cash assistance as the government's concern for the economy of the underprivileged people of West Papua have received bltbbm
202,"the government ensures that the distribution of direct fuel oil cash assistance is right on target. With this distribution of assistance, the community's economy has greatly helped West Papua."
203,"finally the government has distributed direct fuel oil cash assistance to the people of West Papua, who have received bltbbm"
204,direct fuel oil cash assistance evidence of the government's attention to the middle and lower class of aceh fuel oil cash direct assistance
205,fuel oil direct cash assistance is the right solution for the government to divert fuel subsidies to be more targeted in south sulawesi
206,guard the Yogyakarta special regional government subsidy on the price of Yogyakarta fuel oil
207,"support the government in adjusting fuel prices so that Indonesia is always victorious, the people of West Papua, support every government policy for the benefit of the people"
208,"The people of Medan, North Aumatera, support the increase in fuel prices. They believe in government policies to build a more advanced Indonesia"
209,direct fuel oil cash assistance is the government's solution in maintaining the purchasing power of the people of Jambi
210,the government is accelerating the distribution of direct fuel oil cash assistance by post so that it is easily accessible to Jambi
211,"Hooray, the government accelerates the distribution of fuel oil direct cash assistance to help the people of Jambi"
212,all the people of the city of Medan support the government's reasons for increasing fuel prices for the purpose of developing a nation that benefits all Indonesian people
213,"with the existence of direct fuel oil cash assistance, the community is increasingly confident in the Jambi government"
214,let's understand the purpose of adjusting fuel prices and continue to support our government
215,social assistance is a government solution that knows better how to deal with the impact of adjusting West Papua fuel prices to support adjustments to fuel oil
216,now no demonstrations fuel oil but support blt no more crying because it's not opposition hahahaha let's support the government
217,"Regarding the government's policy of adjusting the price of subsidized fuel, we just support it. Besides, the government has also distributed direct fuel oil cash assistance, which is definitely right on target, which is sure to help the people of West Papua."
218,"direct cash assistance from fuel oil, the government's efforts to maintain the purchasing power of the people of West Papua, support the adjustment of fuel prices so that subsidies are right on target"
219,"the adjustment in the price of fuel oil is right, the people of West Papua are very supportive of the government"
220,West Papua supports the government in adjusting the price of fuel oil so that Indonesia remains victorious
221,president joko widodo jokowi said the government was making adjustments to the price of fuel oil or aceh subsidized fuel oil was present
222,the government's policy in dealing with adjustments to the price of fuel oil is right on target
223,Adjusting the price of fuel oil is the right step for the West Java government
224,Acehnese fully support government policies in adjusting fuel prices
225,the government's policy of distributing fuel-oil direct cash assistance is the right step to make it more targeted to East Nusa Tenggara
226,distribution of fuel oil direct cash assistance is the government's commitment to improve the welfare of the people of North Sumatra
227,the government increases the quota for pertalite fuel oil and subsidized diesel fuel
228,the government's policy of diverting fuel subsidies to direct cash assistance is very appropriate and has a positive impact on the economy of the people of North Sumatra
229,the distribution of direct fuel oil cash assistance is proof that the government continues to strive to improve people's welfare to support the distribution of direct cash assistance in North Sumatra
230,the government's policy of channeling direct fuel oil cash assistance is very appropriate and helping the community's economy support the distribution of direct cash assistance in North Sumatra
231,Acehnese fully support government policies in adjusting fuel prices
232,the government ensures that the distribution of direct fuel oil cash assistance is evenly distributed and right on target to support the distribution of direct cash assistance in North Sumatra
233,the government's policy of diverting fuel subsidies to direct cash assistance is very appropriate and increases the welfare of the people of North Sumatra
234,"the people of the city of Medan, North Sumatra, agree with the government's policy of shifting fuel subsidies for social assistance blt"
235,The price of fuel oil in Indonesia is too cheap. The government's policy is to improve the economy for the sake of targeted subsidies in North Sumatra
236,"the government has increased the pertalite quota by as much as million kiloliters from the initial quota of million KL, while for subsidized diesel it has added another million from the initial quota of million KL"
237,support the government in adjusting subsidized fuel prices for subsidies that are evenly distributed in North Sumatra
238,support the government to continue evaluating plans to adjust fuel prices so that the economy improves for subsidies that are right on target for North Sumatra
239,support the government in adjusting subsidized fuel prices for subsidies that are evenly distributed in North Sumatra
240,The government made adjustments to the price of fuel oil to contain inflation in West Java
241,The community is very grateful for the government's policy of distributing direct fuel oil cash assistance to support the distribution of North Sumatra cash direct assistance
242,The government has distributed direct fuel oil cash assistance to all regions in Indonesia to support the distribution of North Sumatra cash direct assistance
243,the distribution of direct fuel cash assistance is the government's commitment to realize the use of subsidies that are right on target to support the distribution of direct cash assistance in North Sumatra
244,bhabinkamtibmas activities of the Kuala Sector Police carried out socialization to the members of the village community they were assisted in anticipating the government's reaction to rising fuel prices by adjusting world oil prices and it was hoped that all members of the community
245,the government's policy in dealing with adjustments to the price of fuel oil is right on target
246,This BLT direct cash assistance is assistance promised by the central government for the community after the increase in fuel oil which is channeled through the regional government
247,"the government's right step in adjusting the price of fuel oil for the welfare of the people of Indonesia, East Nusa Tenggara"
248,"We fully support the government's policy of increasing the price of fuel, the people of Sulawesi are supporting the policy of adjusting fuel prices"
249,"The government made an adjustment to the price of fuel oil to contain inflation, the people of Sulawesi are supporting the policy of adjusting the price of fuel oil"
250,"fuel subsidies are a burden on the state budget, adjusting fuel prices is the right step, the government of the people of Sulawesi is supporting the policy of adjusting fuel prices"
251,the distribution of direct fuel oil cash assistance reaches a percentage of the North Maluku Great Government
252,Adjustment of the price of fuel oil is the right step for the government to support the adjustment of the price of fuel oil from North Sumatra
253,"We fully support the government's policy of increasing the price of fuel, the people of Sulawesi are supporting the policy of adjusting fuel prices"
254,"The government made an adjustment to the price of fuel oil to contain inflation, the people of Sulawesi are supporting the policy of adjusting the price of fuel oil"
255,"fuel subsidies are a burden on the state budget, adjusting fuel prices is the right step, the government of the people of Sulawesi is supporting the policy of adjusting fuel prices"
256,"We fully support the government's policy of increasing the price of fuel, the people of Sulawesi are supporting the policy of adjusting fuel prices"
257,"The government made an adjustment to the price of fuel oil to contain inflation, the people of Sulawesi are supporting the policy of adjusting the price of fuel oil"
258,"fuel subsidies are a burden on the state budget, adjusting fuel prices is the right step, the government of the people of Sulawesi is supporting the policy of adjusting fuel prices"
259,"the government made adjustments to the price of fuel oil in order to realize the use of subsidies that are right on target in North Maluku, Ternate"
260,"Economist Faisal Basri invites the public to think smartly in response to the government's policy of adjusting fuel prices, which has tried to suppress Aceh's inflation"
261,"We fully support the government's policy of increasing the price of fuel, the people of Sulawesi are supporting the policy of adjusting fuel prices"
262,"The government made an adjustment to the price of fuel oil to contain inflation, the people of Sulawesi are supporting the policy of adjusting the price of fuel oil"
263,"fuel subsidies are a burden on the state budget, adjusting fuel prices is the right step, the government of the people of Sulawesi is supporting the policy of adjusting fuel prices"
264,"In order to contain inflation, adjusting the price of fuel oil is the right step for the Aceh government"
265,"Adjusting the price of fuel oil is the government's commitment to realizing the use of subsidies that are right on target in North Maluku, Ternate"
266,"We fully support the government's policy of increasing the price of fuel, the people of Sulawesi are supporting the policy of adjusting fuel prices"
267,"The government made an adjustment to the price of fuel oil to contain inflation, the people of Sulawesi are supporting the policy of adjusting the price of fuel oil"
268,"fuel subsidies are a burden on the state budget, adjusting fuel prices is the right step, the government of the people of Sulawesi is supporting the policy of adjusting fuel prices"
269,aceh fully supports government policies and gives the highest appreciation in diverting fuel subsidies
270,Bangka Belitung Islands The right policy for the government is to adjust the price of fuel oil
271,"We fully support the government's policy of increasing the price of fuel, the people of Sulawesi are supporting the policy of adjusting fuel prices"
272,"The government made an adjustment to the price of fuel oil to contain inflation, the people of Sulawesi are supporting the policy of adjusting the price of fuel oil"
273,"fuel subsidies are a burden on the state budget, adjusting fuel prices is the right step, the government of the people of Sulawesi is supporting the policy of adjusting fuel prices"
274,"We fully support the government's policy of increasing the price of fuel, the people of Sulawesi are supporting the policy of adjusting fuel prices"
275,"The government made an adjustment to the price of fuel oil to contain inflation, the people of Sulawesi are supporting the policy of adjusting the price of fuel oil"
276,"fuel subsidies are a burden on the state budget, adjusting fuel prices is the right step, the government of the people of Sulawesi is supporting the policy of adjusting fuel prices"
277,"Bangka Belitung Islands Fuel subsidies are not on target The government is taking the right steps for channeling subsidies, namely diverting fuel subsidies to targeted assistance"
278,The government has made policies with careful consideration to support the adjustment of fuel prices for North Sumatra
279,"We fully support the government's policy of increasing the price of fuel, the people of Sulawesi are supporting the policy of adjusting fuel prices"
280,"The government made an adjustment to the price of fuel oil to contain inflation, the people of Sulawesi are supporting the policy of adjusting the price of fuel oil"
281,"fuel subsidies are a burden on the state budget, adjusting fuel prices is the right step, the government of the people of Sulawesi is supporting the policy of adjusting fuel prices"
282,the government's policy of adjusting the price of fuel oil is very appropriate to support the adjustment of the price of fuel oil in North Sumatra
283,the government made adjustments to the price of fuel oil in order to realize the use of subsidies that are right on target to support the adjustment of the price of fuel oil in North Sumatra
284,"The government made an adjustment to the price of fuel oil to contain inflation. We, the people of East Nusa Tenggara, support the adjustment of fuel prices for the sake of people's welfare"
285,The adjustment in the price of fuel oil is the government's commitment to realize the use of subsidies that are right on target to support the adjustment in the price of fuel oil in North Sumatra
286,aceh fully supports government policies and gives the highest appreciation in diverting fuel subsidies
287,The adjustment in the price of fuel oil is the government's commitment to realize the use of subsidies that are right on target to support the adjustment in the price of fuel oil in North Sumatra
288,"the Bangka Belitung Islands to reduce the state budget, the government took the right steps, namely to adjust the price of fuel oil"
289,the government made adjustments to the price of fuel oil in order to realize the use of subsidies that are right on target to support the adjustment of the price of fuel oil in North Sumatra
290,"the government's policy of adjusting fuel prices has had a positive impact on Indonesia's economic stability, supporting fuel price adjustments in North Sumatra"
