,Unnamed: 0,tweet_text,text,polarity,sentimen
34,34,"Harga BBM Indonesia masih paling murah bestie. Karena masih ada subsidi dari Pemerintah di tiap liternya. Contohnya aja Pertalite, produk favorit ini masih disubsidi kisaran 4 rb/liternya.  Pertalite Harga Paling Hemat dan Irit https://t.co/wDMSgQgRsA","Indonesian fuel prices are still the cheapest, bestie, because there is still a subsidy from the order in every liter, for example, Pertalite, this favorite product is still subsidized, around 1,000 liters pertalite, the most economical and economical price",0.4,positif
38,38,Penyesuaian harga BBM sangat membantu masyarakat dan merupakan keputusan yang tepat oleh pemerintah menegakan keadilan. Pemuda Bali Bersatu dukung penuh penyesuaian harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/Pd5jqp4yD2,"according to the price of fuel, it really helps the community and the right form of breaking up by the order of fair hearted youth, bal one, fully supports according to the price of fuel",0.3952380952380952,positif
39,39,Harga BBM Di Indonesia termasuk paling murah di banding rata rata negara Asean hal itu karena adanya subsidi dari Pemerintah Pertamina Terbaik BBM Pertamina Termurah dan Terhemat https://t.co/MLlMtorO65,"fuel prices in Indonesia are the cheapest compared to the average ASEAN countries, this is because there are subsidies from Pertamina's orders, both Pertamina's fuel is cheap and economical",0.18333333333333335,positif
40,40,Manfaat BLT BBM ringankan masyarakat dr gejolak kenaikan hrga global. Ini cara pemerintah memberikan terobosan kpd masyarakat dgn kondisi ekonomi yg tdk menentu dgn cara memberikan kompensasi brupa BLT BBM. Pertamina Terbaik dan Pelayanan Pertamina Luar Biasa https://t.co/CyUWNuN0yT,"the benefits of blt light fuel for the community from the fluctuations in rising global prices, this way of ordering to give breakthroughs to people with uncertain economic conditions by providing compensation in the form of good bt fuel pertamina and excellent pertamina services",0.45999999999999996,positif
41,41,"Berlaku sejak 1 Oktober 2022 dan bertujuan untuk memenuhi kebutuhan masyarakat hingga akhir tahun, Pemerintah menambah kuota BBM bersubsidi. Pertamina Terbaik https://t.co/KsXIRjB4Ks",it has been in operation since October and is aiming to fill the needs of the people until the end of the year the order to increase Pertamina's subsidized fuel quota is good,0.7,positif
44,44,ICP (harga minyak mentah Indonesia) sudah anjlok di bawah asumsi APBN-P tahun 2022. . Jadi kapan BBM bersubsidi turun Pak Jokowi? Ã¢ÂÂ¦@PKSejahteraÃ¢ÂÂ© Ã¢ÂÂ¦@FPKSDPRRIÃ¢ÂÂ©  https://t.co/gMn7LWw3jU,"icp Indonesia's crude oil prices have fallen below the assumptions of the 2018 state budget, so when will fuel subsidies go down Pak Jokowi",-0.42777777777777776,negatif
45,45,"Pemerintah memilih jalan keadilan dengan mengalahkan subsidi BBM menjadi BLT. #PerekonomianKianMembaik #IndonesiaBangkit  Jepang | Ferdy Sambo | 1,5 M | Aremania | Telkomsel | Nasdrun | 77 TNI | Nasdem | Tulus Utamakan Rakyat https://t.co/6vhYf9YtuM",order to choose a fair path by losing fuel subsidies so blt japan ferdy sambo aremania telkomsel nasdrun tni nasdem sincere first of all the people,0.48333333333333334,positif
46,46,"Langkah pemerintah menyesuaikan harga BBM jadi momentum perbaikan struktur pemberian subsidi. #PerekonomianKianMembaik #IndonesiaBangkit @jokowi   Jepang | Ferdy Sambo | 1,5 M | Aremania | Telkomsel | Nasdrun | 77 TNI | Nasdem | Tulus Utamakan Rakyat https://t.co/NJqXmPe743",order steps according to fuel prices are a good momentum structure give subsidies Japan ferdy sambo aremania telkomsel nasdrun tni nasdem sincere first of all the people,0.48333333333333334,positif
47,47,"Kita harus bersyukur, karena harga BBM di Indonesia masih jauh lebih murah dibandingkan dng negara lain.  Harga BBM ini murah karena disubsidi oleh pemerintah.  @pertamina  #BBMIndonesiaPalingMurah https://t.co/TO2KFPv6LR",We must be grateful because the price of fuel in Indonesia is still much cheaper compared to other countries. The price of fuel is cheap because it is subsidized by orders.,0.15833333333333335,positif
49,49,Pemerintah pantau langsung penyaluran BLT BBM untuk masyarakat  #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan Kepulauan Riau https://t.co/qLwx0sbf8s,order to directly monitor BLT fuel distribution for the people of Riau Island,0.1,positif
52,52,Pemerintah mempercepat penyaluran BLT BBM Kepada Masyarakat #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan Jambi ikut mendukung untuk Indonesia https://t.co/25OViKy4jZ,quick order to distribute blt bbm to the people of Jambi to support Indonesia,0.3333333333333333,positif
54,54,"Sumatera Utara mendukung Kebijakan Pemerintah mengalihkan subsidi BBM ke BLT demi mewujudkan penyaluran subsidi yang tepat sasaran #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan https://t.co/almN3RpX1s",North Sumatra wisely supports the order to transfer fuel subsidies to BLT in order to realize targeted distribution of subsidies,0.7,positif
56,56,Langkah dan kebijakan yang tepat diambil pemerintah Jambi Dukung Penyesuaian Harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/OOtEbsEPwh,the right step and wisely take the Jambi order to support according to fuel prices,0.4928571428571428,positif
58,58,"Jangan memperjuangkan hak orang kaya, langkah pemerintah sudah tepat Jambi Dukung Penyesuaian Harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/MsVBwp1KjS","don't fight for the rights of the rich, the steps for the order are right, Jambi, support according to the price of fuel",0.33035714285714285,positif
59,59,Selengkapnya klik tautan ini  https://t.co/rArSTFA3c4  Ijin tag  @MardaniAliSera @hnurwahid @tifsembiring @lediahanifa @salimsegaf https://t.co/FJguOruhfS,complete click on this link permission tag,0.1,positif
61,61,Kebijakan pemerintah sudah tepat Jambi Dukung Penyesuaian Harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/eAOv02Kuz1,"wise, the order is right, Jambi supports according to fuel prices",0.4928571428571428,positif
64,64,Penyesuaian harga BBM adalah langkah yang tepat diambil pemerintah Jambi Dukung Penyesuaian Harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/ecL2tE5FX0,according to fuel prices is the right step to take orders Jambi support according to fuel prices,0.2857142857142857,positif
65,65,"Subsidi BBM jadi beban APBN, penyesuaian harga BBM langkah yang tepat diambil pemerintah Jambi Dukung Penyesuaian Harga BBM  #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/5mZO3ORPlg",fuel subsidies are a burden on the state budget according to fuel prices the right step is to take the Jambi order to support according to fuel prices,0.2857142857142857,positif
69,69,Pemerintah menambah kuota BBM Pertalite dan Solar subsidi yang berlaku sejak 1 Oktober 2022 untuk memenuhi kebutuhan masyarakat hingga akhir tahun. #PerekonomianKianMembaik #IndonesiaBangkit @jokowi   Aremania | Telkomsel | Nasdrun | 77 TNI | Nasdem | Tulus Utamakan Rakyat https://t.co/nztFgaBfIe,orders to increase pertalite fuel quotas and subsidized diesel fuel which have been in effect since October to meet the needs of the people until the end of the year aremania telkomsel nasdrun tni nasdem sincerely the main people,0.3333333333333333,positif
70,70,"Penuhi Kebutuhan Masyarakat, Pemerintah Tambah Kuota Subsidi BBM Pertalite danÃÂ Solar https://t.co/Uf8PoDglUh",full needs the community to order an increase in the pertalite and diesel fuel subsidy quotas,0.35,positif
81,81,"Subsidi BBM jadi beban APBN, penyesuaian Harga BBM langkah tepat pemerintah. Jambi #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/IEOWIAVpzW","Fuel subsidies are a burden on the state budget according to fuel prices, the exact steps Jambi ordered",0.25,positif
83,83,Pemerintah lakukan langkah tepat dgn lakukan penyesuaian harga BBM cz subsidi BBM udah jadi beban APBN Yuk qta dukung langkah pemerintah lakukan penyesuaian harga BBM ya #BantuanBBMUntukRakyat  #BLTBBMTepatSasaran  #SubsidiTepatSasaran  Banten https://t.co/E27gDKGJPL,"orders to do the right steps according to the price of fuel, cz the fuel subsidy has become a burden on the state budget, let's support the steps for orders to behave according to the price of fuel, ok?",0.39285714285714285,positif
87,87,"Penyesuaian harga BBM diambil pemerintah untuk menahan inflasi, Ayo kita dukung kebijakan Pemerintah. #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran - Jawa Tengah https://t.co/p7xRDiNq05","According to fuel prices, take orders to withstand inflation. Let's wisely support Central Java's orders",0.35,positif
88,88,"Penyesuaian harga BBM subsidi dilakukan sebagai respons atas fluktuasi harga minyak mentah dunia. Selain itu, Pemerintah juga mempertimbangkan kondisi ekonomi negara. https://t.co/d6rERmiH5U","According to subsidized fuel prices, it is implemented in response to fluctuations in world crude oil prices. Apart from that, the orders also take into account the country's economic conditions",-0.24999999999999997,negatif
89,89,"Penyesuaian harga BBM itu wajar melihat kondisi global, mari terus dukung kebijakan pemerintah #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran Banten https://t.co/fFVOHZ9leb","According to the fuel price, it's reasonable considering global conditions. Let's continue to support the wise order of offerings",0.3,positif
98,98,"Subsidi BBM jadi beban APBN, penyesuaian harga BBM langkah tepat pemerintah #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran  ~ Jawa Tengah https://t.co/NTFce4erJs","Fuel subsidies are a burden on the state budget according to fuel prices, the exact steps ordered by Central Java",0.125,positif
102,102,"PemerintahÃÂ  menambah kuota BBM jenis Pertalite dan Solar Subsidi untuk memenuhi kebutuhan masyarakat hingga akhir 2022. Hal tersebut disampaikan Kepala BPH Migas, Erika Retnowati, melalui keterangan tertulisnya, Senin (3/10/2022). https://t.co/I48VQfvmBo","an order to increase the pertalite fuel quota and subsidized diesel fuel to meet the needs of the people until the end of the matter, call the head of BPH Migas Erika Retnowati, then clearly write Monday",0.10000000000000002,positif
107,107,"Pemerintah telah menyalurkan Program BLT BBM mencapai 96,6 % dan diterima oleh masyarakat ekonomi menengah ke bawah  #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan Kalimantan Barat https://t.co/sPlXUrweX9",the order has distributed the blt bbm program achieved and accepted by the middle to lower economic community of West Kalimantan,0.1,positif
114,114,Ayoo gaess Masyarakat Lampung kita dukung Kebijakan Pemerintah perihal BLT BBM  #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran https://t.co/pKePVlBylp,"come on, gaess, the people of Lampung, we will support the wise command regarding blt bbm",0.7,positif
116,116,Masyarakat Lampung Mendukung Penuh Kebijakan Pemerintah tentang BLT BBM  #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran https://t.co/5DLXjSqOSV,the people of Lampung fully support the wise command regarding blt bbm,0.7,positif
118,118,Lampung Apresiasi Kebijakan Pemerintah Tentang BLT BBM  #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran https://t.co/iYehE2zKtp,Lampung wise appreciation of the order regarding blt bbm,0.7,positif
119,119,"Subsidi jadi Beban APBN, penyesuaian Harga BBM langkah tepat Pemerintah. - Maluku Satu Rasa - #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/gaAfUxjJTp","subsidies are a burden on the state budget according to the price of fuel, the right step to order is one of a feeling",0.2857142857142857,positif
120,120,"Pemberian BLT BBM, BLT UMKM dan BSU untuk masyarakat sebagai bentuk kepedulian Pemerintah untuk meringankan masyarakat  #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan Kalimantan Barat https://t.co/zgLWVyNH4V","giving blt bbm blt umkm and bsu for the community is like a form of caring, an order to make it easy for the people of West Kalimantan",0.43333333333333335,positif
121,121,Pemerintah saat ini menyalurkan BLT BBM untuk masyarakat khususnya ekonomi menengah ke bawah  #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan Kalimantan Barat https://t.co/wHN6eIO04N,"The current order is to distribute BLT BBM for the middle to lower economic community, West Kalimantan",0.06666666666666667,positif
133,133,pemerintah resmi tambah kuota BBM subsidi hingga akhir tahun. aceh bangga. #JokowiHebat #JokowiPresidenku #JokowiBapakInfrastruktur #PembangunanUntukRakyat #PresidenJokowi https://t.co/RLeZnNIvpU,the official order to increase the subsidized fuel quota until the end of the year Aceh is proud,0.8,positif
135,135,Pemerintah memilih jalan keadilan dengan mengalahkan subsidi BBM menjadi BLT. #PerekonomianKianMembaik #IndonesiaBangkit #ShaniTheSelene Dirgahayu TNI Army https://t.co/AXSmMxB8Oh,the order to choose a fair path by losing the fuel subsidy so that the military army will be happy,0.4666666666666666,positif
136,136,"Personil Sat intelkam Polres Padangsidimpuan melaksanakan monitoring dan deteksi dini situasi kamtibmas terkait Program Pemerintah tentang kenaikan harga BBM Jenis Solar, Pertalite dan Pertamax di SPBU dalam Wilayah Kota Padangsidimpuan, Selasa (4/10). https://t.co/Xojg2fnODj",Padangsidimpuan Police Intelligence Unit personnel carry out monitoring and early detection of the Kamtibmas situation regarding the order program regarding the increase in the price of Pertalite and Pertamax diesel fuel at gas stations in the Padangsidimpuan city area on Tuesday,0.1,positif
141,141,"Pemerintah sudah siapkan anggaran bansos PKH Rp. 18,4 Triliun pada 2022  Jambi dukung BLT BBM   #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan https://t.co/HbbwljxX6X",the order is ready to budget for social assistance at Rp trillion in Jambi to support BLT BBM,0.11666666666666667,positif
143,143,Mari dukung Kebijakan Pemerintah penyaluran BLT BBM #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan https://t.co/49liXLh8UN,let's support wisely the command to channel blt bbm,0.7,positif
149,149,"Pengelolaan APBN yang tidak becus membuat pemerintah mengeluarkan kebijakan Kenaikan Harga BBM, namun tidak proporsional karena upah pekerja yang berbeda tiap daerah dan masih cukup rendah. Nah, sekarang malah pemborosan APBN (lagi). https://t.co/JSjUuT58Jl","manage the state budget that is incompetent to make wise exit orders to increase fuel prices but it is not proportional because the wages for work are different for each region and are still quite low, now it is even more wasteful of the state budget",0.16999999999999998,positif
156,156,Pemerintah mempercepat penyaluran BLT BBM Kepada Masyarakat Mantap! #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran Banten https://t.co/livHvHfqhv,quick orders to distribute blt bbm to the people of Steady Banten,0.25,positif
157,157,BLT BBM merupakan upaya pemerintah untuk membantu masyarakat kalangan bawah. Mantap! #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran Banten https://t.co/qfS1pJXsZi,blt bbm is an effort to order to help the lower class community steady offerings,0.16666666666666666,positif
158,158,Kebijakan Pemerintah itu Sudah tepat sasaran mari kita dukung BLT BBM Mantap! #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran Banten https://t.co/fC2chD4C99,"wise, the order is right on target, let's support blt bbm, steady offering",0.3841269841269841,positif
159,159,BLT BBM dari pemerintah sangat membantu meringankan beban masyarakat dan masih banyak manfaat lainnya. Mantap! #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran Banten https://t.co/KlwSLFYl5r,"blt bbm from the order really helps lighten the burden on the community and there are many other benefits, great offerings",0.34375,positif
160,160,sangat terbantu dengan adanya BLT BBM dari pemerintah! Mantap! #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran Banten https://t.co/eP2b0e0TOz,very helpful with blt bbm from steady offerings,0.18333333333333335,positif
161,161,Penyaluran BLT BBM ini sebagai kepedulian pemerintah terhadap perekonomian masyarakat kurang mampu. Mantap! #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran Banten https://t.co/MKdUUOUYEt,"This BLT BBM channel is like caring for an order for the economy of the less fortunate, Steady Banten",0.13333333333333333,positif
162,162,Pemerintah menyalurkan BLT BBM demi wujudkan penggunaan subsidi yang tepat sasaran  Dukung penyaluran BLT #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan Sumatera Utara https://t.co/VxfDLV5Koc,order to distribute blt fuel for the sake of realizing the right target for subsidies to support the distribution of blt bbm north sumatra,0.2857142857142857,positif
174,174,Subsisdi BBM jadi beban APBN penyesuaian harga BBM langka tepat Pemerintah   #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/lf4hUVuREb,"The fuel subsidy is a burden on the state budget according to the price of rare fuel, right on command",0.2928571428571428,positif
175,175,Penyesuan Harga BBM di lakukan agar subsidi tepat sasaran  Sulawesi Tengah Dukung Pemerintah #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/iw3Mdkf1aZ,"Fuel price adjustments are being implemented so that subsidies are right on target, Sulawesi is in the middle of supporting the order",0.17857142857142858,positif
176,176,Nusa Tenggara Timur Pemerintah sangat bijak dalam mengelola anggaran subsidi BBM kita.. Maju terus Indonesia #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/YZGOHV2yry,"East Nusa Tenggara, the command is very wise in managing our fuel subsidy budget, we are moving forward, Indonesia",0.9099999999999999,positif
185,185,Terus berikan suara dukungan kita terhadap pemerintah agar penyaluran BLT BBM ini dapat lancar #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan https://t.co/OVlpH7Zgkc,continue to support us with sound fish for orders so that the BLT BBM channel can run smoothly,0.4,positif
191,191,Penyesuaian harga BBM langkah tepat pemerintah. Rakyat indonesia dukung Penyesuaian Harga BBM.   #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran Sumatera Barat https://t.co/BD55Z4v4Fp,"According to fuel prices, the right steps ordered by the people of Indonesia, support according to West Sumatra fuel prices",0.2857142857142857,positif
196,196,"Antisipasi gejolak kenaikan harga minyak mentah dunia, Pemerintah Indonesia dinilai tepat karena menyesuaikan harga BBM namun untuk menjaga daya beli masyarakat   Papua Barat sudah terima BLTBBM #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran","Anticipating fluctuations in world crude oil prices, Indonesia's order is the right value because it is in accordance with fuel prices, but to maintain the purchasing power of the people of West Papua, they have received bltbbm",-0.20714285714285713,negatif
205,205,BLT BBM Solusi tepat pemerintah alihkan subsidi BBM lebih tepat Sasaran #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan Sulawesi Selatan https://t.co/VbCmWYjQO9,blt bbm the right solution to the order to transfer fuel subsidies is more precisely targeting south sulawesi,0.3952380952380952,positif
206,206,Kawal subsidi pemerintah   Daerah Istimewa Yogyakarta Harga BBM Yogyakarta #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/Dg76jRb3Zk,"guard the subsidy of the Special Region of Yogyakarta command, the price of Yogyakarta fuel",0.35714285714285715,positif
207,207,Dukung Pemerintah dalam Penyesuaian Harga BBM agar Indonesia Jaya Selalu!  Rakyat Papua Barat dukung setiap kebijakan Pemerintah untuk kepentingan masyarakat!  #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/hzDA6XfdGt,"support orders according to fuel prices so that Indonesia is always victorious, the people of West Papua, support every wise order for the people",0.7,positif
208,208,Masyarakat Kota Medan Aumatera Utara Dukung kenaikan harga BBM. Percaya dengan kebijakan pemerintah membangun Indonesia lebih Maju  Ã¢ÂÂÃ¯Â¸ÂÃ°ÂÂÂ²Ã°ÂÂÂ¨ #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/eFO8FnqrEu,"The people of the city of Medan, North Aumatera, support the increase in fuel prices, believing wisely in the order to build Indonesia to be more advanced",0.5333333333333333,positif
