,tweet,sentimen
1100,the government's policy of diverting fuel subsidies to direct cash assistance is the government's commitment to realizing the use of the budget that is right on target,positive
1785,support price adjustment of subsidized fuel oil Sulawesi is supporting government policy,positive
776,"the government diverted some of the fuel subsidies to more targeted aid, riau supported the policy of adjusting fuel prices",positive
2632,the government provides direct fuel oil cash assistance to underprivileged residents supports the distribution of fuel oil cash direct assistance in South Sumatra,positive
245,Adjusting the price of fuel oil is the right step for the North Maluku government,positive
1503,the government has accelerated the distribution of direct fuel oil cash assistance to the people of North Sumatra,positive
461,observers of the underprivileged communities of North Sumatra have encouraged the government to socialize direct fuel oil cash assistance,positive
1959,The energy law and the oil and gas law can become a legal basis for the government to be able to limit fuel subsidies so that the government should already prohibit the use of subsidized fuel oil for four-wheeled vehicles and above types of non-public transportation.,positive
886,the government diverted some of the fuel subsidies for more appropriate assistance in central java,positive
663,the name sabilaa rusyda the aryabhata group of students considers that the government's policy to increase the price of fuel oil is very detrimental to the community in the midst of a growing economy from the impact of covid,positive
1260,Adjusting the price of fuel oil is the government's effort to make fuel subsidies more targeted to less fortunate communities.,positive
1047,"Come on, people of Central Kalimantan, let's support the government to adjust the price of subsidized fuel oil in Central Kalimantan in Palangkaraya, the beautiful city of Central Kalimantan",positive
2321,the government calls for direct cash assistance from fuel oil to be used to buy basic needs,positive
1515,The transfer of fuel subsidies is the last option taken by the special regional government of Yogyakarta,positive
880,adjustments to the price of subsidized fuel oil were carried out so that the subsidies were more targeted and the government issued a policy for channeling wonderful Bengkulu direct cash assistance,positive
2158,thank you government for direct cash assistance fuel oil south sumatra government appreciation,positive
1366,the government's steps to adjust the price of fuel oil are appropriate,positive
1714,support the government's direct fuel oil cash assistance phase one to reach percent liquidation of the second phase starting november west papua,positive
2867,Adjusting the price of subsidized fuel oil is the right government policy to protect Papua's poor and vulnerable people,negative
53,"Thank you, the government has distributed contributions in the form of direct fuel oil cash assistance to people in need",positive
2656,fuel oil direct cash assistance helps the government side with the people optimally,positive
1191,the Jokowi government accelerates the distribution of direct fuel oil cash assistance to the people of North Sumatra,positive
2842,the distribution of fuel oil direct cash assistance as a result of the adjustment in the price of fuel oil with subsidies was transferred to the government's West Kalimantan social assistance,positive
2706,"Global geopolitical instability makes the difference between the selling price of subsidized fuel oil and world prices getting bigger so that the state budget is not broken, the government needs to adjust the price of fuel oil by reducing subsidies in Banten",positive
1051,the government is accelerating the distribution of direct fuel oil cash assistance to the community and so that it is right on target for North Sulawesi,positive
2474,the government provides direct fuel oil cash assistance to non-citizens,positive
1829,"it's like the government has to force vivo to produce fuel oil with worse quality than pertalite, don't just force the price to be above pertalite, it's still dangerous if the quality is above",negative
493,the distribution of direct fuel oil cash assistance is proof that the government is very concerned about the welfare of the community to support the distribution of direct cash assistance in North Sumatra,positive
454,let's take advantage of direct fuel oil cash assistance from the government of Gorontalo wisely,positive
936,the government diverted some of the fuel subsidies for aid that was more targeted in West Java,positive
562,The government ensures that the distribution of direct fuel oil cash assistance is right on target to all regions in Indonesia. Support the distribution of direct cash assistance in North Sumatra,positive
1686,riau islands government appreciation that shows the people direct fuel oil cash assistance right on target,positive
2855,"the closed subsidy method will make it easier to implement the distribution of subsidized fuel oil on target, revising the presidential regulation is important to make this happen, support the right steps from the government",positive
332,the number of Merauke residents receiving direct cash assistance from fuel oil is as much as KPM Sulawesi is supporting government policies,positive
1370,All economists agree that the policy of supporting social fuel oil forms the government's alignment with the people of Papua,positive
2333,Puan Maharani received complaints from a rice trader named Agus who complained about the increase in fuel prices that had recently been signed by the government,negative
2330,Puan Maharani received complaints from a rice trader named Agus who complained about the increase in fuel prices that had recently been signed by the government,negative
1101,the government has accelerated the distribution of direct fuel oil cash assistance to the people of North Sumatra,positive
320,direct cash assistance is one of the compensation for adjusting the price of Sulawesi's fuel oil while supporting government policies,positive
2495,support the government's policy because adjusting the price of fuel oil is the right action for West Papua to speak out,positive
1669,All economists agree that the fuel-oil social bearing policy is a form of the government's partiality for the people of West Sumatra,positive
1180,riau islands appreciation of the government that provides direct cash assistance fuel oil to the people,positive
2574,the boisterous rhetoric of rising fuel oil that is out of control with the influence of inflation shooting beyond fiscal policy can the government wisely explain that this is a cycle that must be accepted,positive
923,direct fuel oil cash assistance is government assistance which is felt very positively in the people of the Bangka Belitung Islands,positive
1452,Adjusting fuel prices is the government's move to avoid the negative impact of the state budget crisis,negative
826,the government has carefully studied the price adjustments for Jambi fuel oil,negative
98,"The government's policy is right on target. Let's support direct cash assistance from solid fuel oil, Banten",positive
674,the people continue to note that the government prefers its people to be in trouble rather than the people to live in peace and comfort in the field of the fuel economy rises the people are miserable as if managing the country is right on its own thank you ust from Mulyanto continue to fight for the fate of the people,negative
2476,the government provides direct fuel oil cash assistance to poor people,negative
40,the government has increased the quota for pertalite fuel oil and subsidized diesel which has been in effect since October to meet people's needs until the end of the year aremania telkomsel nasdrun tni nasdem sincerely prioritizes the people,positive
296,"the distribution of fuel oil direct cash assistance has experienced significant improvement, Sulawesi is currently supporting government policies",positive
2041,People of Jambi appreciate the adjustment in fuel prices for the benefit of all the people. Support professional government policies for the less fortunate,positive
1109,The government's policy of adjusting fuel prices is the right step for South Kalimantan,positive
202,"fuel subsidies are a burden on the state budget, adjusting fuel prices is the right step, the government of the people of Sulawesi is supporting the policy of adjusting fuel prices",positive
1063,"the Ministry of Energy and Mineral Resources announced that there would be an additional pertalite and diesel quota as of October, this was done due to the potential for an over quota of subsidized fuel oil this year",negative
841,the community felt helped by the direct cash assistance from fuel oil from the West Kalimantan government,positive
1693,adjusting the price of fuel oil so that the government supports subsidies that are right on target for the Riau Islands,positive
531,"the right decision, the government policy is right to adjust the price of subsidized fuel oil, all for the sake of distributing subsidies that are right on target, the chatter of North Sumatran residents",positive
1313,Fuel oil social bearing policies form the government's alignment with the people,positive
2131,"great, millions of people have received direct cash assistance, fuel, thanks to the Gorontalo government",positive
720,The people of North Sumatra support the government to adjust fuel prices for subsidies that are right on target for North Sumatra,positive
1658,"The government ensures that the second phase of direct cash assistance for fuel oil will be liquid starting in November, Bali",positive
446,Bangka Belitung Islands direct fuel oil cash assistance is one form of government concern in adjusting fuel prices,positive
1238,the entire community of North Sumatra supports the government in adjusting world fuel prices so that the allocation of subsidies can be more targeted,positive
1236,"We, the people of North Sumatra, fully support the government's policy of diverting the fuel subsidy budget to social assistance, all for the sake of delivering targeted subsidies and anticipating world oil turmoil",positive
1604,"thank God, finally the government has started distributing direct fuel oil cash assistance to all regions in Indonesia, support the distribution of direct cash assistance, North Sumatra",positive
2434,the provincial government of west java has poured out a budget of rp billion to control inflation which will later be used for direct cash assistance and fuel subsidies for fishermen,positive
2310,the madiun district government has a new way to reduce inflation and stabilize prices of basic commodities due to rising fuel oil,positive
2637,East Nusa Tenggara strongly supports the distribution of direct fuel oil cash assistance that is being carried out by the government,positive
353,direct cash assistance is one of the compensation for adjusting the price of Sulawesi's fuel oil while supporting government policies,positive
2777,the president said that nationally the distribution of direct cash assistance blt fuel oil has so far reached percent,positive
2454,the reason why fuel oil has to go up is the government has taken the right steps,positive
2789,There are rumors that Pertalite is more wasteful than urging the government to check the quality of fuel oil,positive
1875,"The government must make adjustments to the price of fuel oil in order to contain inflation, which has a much greater cost impact on West Sumatra",positive
396,"Thank you, the government has provided direct cash assistance, fuel oil, direct cash assistance, helping Lampung residents",positive
169,"the government's right step in adjusting the price of fuel oil for the welfare of the people of Indonesia, East Nusa Tenggara",positive
76,the government chose the path of justice by defeating fuel subsidies to become blt for the TNI army's long live,positive
951,"Bangka Belitung Islands, the government is directly involved in distributing direct fuel cash assistance. The people are very happy with direct fuel oil cash assistance",positive
2913,"So far, the rich people have benefited the most from fuel subsidies, the people of Sulawesi are supporting government policies regarding direct fuel cash assistance",positive
768,it's also true that the government's move to increase the price of fuel oil should make companies consider the WFH option only as a working calculator,positive
719,The people of North Sumatra support the government to adjust fuel prices for subsidies that are right on target for North Sumatra,positive
289,"the distribution of fuel oil direct cash assistance has experienced significant improvement, Sulawesi is currently supporting government policies",positive
1656,"this is proof that the government protects vulnerable people in the special region of Yogyakarta, direct cash assistance from Yogyakarta oil fuel",negative
643,"an appropriate policy carried out by the government, subsidies are right on target, so far subsidized fuel oil has been enjoyed by the rich, so the government has diverted it into direct cash assistance, fuel oil, West Papua's younger brother, has received bltbbm",positive
1323,all economies agree that the social bearing policy of fuel oil forms the government's alignment with the people of Jambi,positive
1791,support the adjustment of fuel prices Sulawesi is supporting government policies,positive
1894,"many people misunderstand the meaning of the increase in the price of subsidized fuel oil, there is no revocation of subsidies after the government raised fuel prices",positive
1246,"Halloo, North Sumatra residents, we need to know together that so far the price of fuel oil in Indonesia is still much cheaper than other Asean countries, let's support government policies together",positive
545,"the right decision, the government policy is right to adjust the price of subsidized fuel oil, all for the sake of distributing subsidies that are right on target, the chatter of North Sumatran residents",positive
2072,the government was able to maintain the economy amid the supportive Sulawesi fuel price adjustments,positive
1964,the government is able to maintain the economy in the midst of adjusting the price of our fuel oil in Jambi,positive
1318,direct cash assistance is a solution to overcome the impact of adjusting the price of fuel oil,positive
1724,the ministry of finance said that the transfer of fuel subsidies to maintain the purchasing power of the poor people of Sulawesi is supporting government policies,negative
2837,zulfikar hamonangan increase fuel oil yesterday because the government was late to hope for change,negative
793,the government has issued a policy of adjusting the price of subsidized fuel oil and some of the subsidies have been transferred to social assistance blt the government is committed to using subsidies which are people's money to be on target,positive
2791,president jokowi ensures that the distribution of government assistance in the city of ternate runs smoothly the president said that nationally the distribution of direct cash assistance blt fuel oil has so far reached,positive
2799,zulfikar hamonangan increase fuel oil yesterday because the government was late to hope for change,negative
49,"the government is taking the right steps by adjusting the price of fuel oil because fuel subsidies have become a burden on the state budget, let's support the government's steps to adjust the price of fuel oil, yes, Banten",positive
1857,spi Batanghari Regency appreciates the direct fuel oil cash assistance policy from the government to Jambi province,positive
910,distribution of fuel oil direct cash assistance as the government's concern for the economy of the underprivileged people of West Papua have received bltbbm,positive
817,Jokowi's performance increased within one week after adjusting fuel oil because the government's very large community assistance program,positive
1774,the government made adjustments to fuel prices to contain inflation in Sulawesi while supporting government policies,positive
1625,the government was able to maintain the economy amid adjustments to the price of fuel oil in West Sumatra,positive
2019,People of Jambi appreciate the adjustment in fuel prices for the benefit of all the people. Support professional government policies for the less fortunate,positive
2529,"Only the world's crude oil has soared, fuel subsidies have swelled, the government has adjusted the price of fuel oil, the people of Sulawesi are in agreement with the policy of adjusting fuel oil",negative
137,"finally the government has distributed direct fuel oil cash assistance to the people of West Papua, who have received bltbbm",positive
1588,thank you government for distributing direct fuel cash assistance this is proof the government cares about the people supporting the distribution of direct cash assistance north sumatra,positive
2190,the government has accelerated the distribution of direct fuel oil cash assistance to the people of North Sumatra,positive
1555,distribution of direct cash assistance and evidence that the government is protecting vulnerable communities amid the North Sumatra fuel price adjustments,negative
2026,People of Jambi appreciate the adjustment in fuel prices for the benefit of all the people. Support professional government policies for the less fortunate,positive
2230,the government's choice to adjust the price of fuel oil is considered good in the eyes of the people of Banten,positive
2587,"so that the state budget is not broken, the government is taking steps to adjust fuel prices, let's continue to support our government, aceh",positive
2226,The transfer of fuel subsidies to sectors that are more beneficial is a great step taken by the Banten government,positive
2860,"During the time when Sby was fierce in rejecting the increase in fuel prices during the Jokowi era, the PDIP understands that the government is having a hard time",negative
2413,"Pertalite specifications, but the results of the RVP test from Pertalite distributed by Pertamina's TbbM are still within the permitted limits and the government is limiting subsidized fuel oil for whom the recipients are clear and not on the wrong target again",negative
349,fuel oil direct cash assistance disbursed in november sulawesi is supporting government policy,positive
2270,"the government's policy of diverting fuel subsidies to social assistance is the government's commitment to realize the use of subsidies that are on target, support the adjustment of fuel prices in North Sumatra",positive
867,the government must divert fuel subsidies so that they are right on target,positive
2340,the government provides direct fuel oil cash assistance to poor citizens of West Sumatra,negative
1726,"adjustments to fuel prices, the government will provide compensation with the Sulawesi Perlinsos currently supporting government policies",positive
2724,"East Nusa Tenggara, we must be proud of the government's strategy in adjusting the price of fuel oil set in Indonesia",positive
1043,the government was able to maintain the economy amid adjustments to the price of fuel oil in West Sumatra,positive
2228,the government is able to maintain the economy amid adjustments to the price of West Java fuel oil,positive
1196,the government accelerates the distribution of direct fuel oil cash assistance to the public,positive
2900,fuel oil direct cash assistance forms the government's alignment with the people optimally Jambi,positive
2366,the government provides direct fuel oil cash assistance to poor citizens of West Sumatra,negative
1380,distribution of direct cash assistance and evidence that the government is protecting vulnerable communities amid adjustments to Papua's fuel prices,negative
2727,The government has been aggressively distributing direct fuel cash assistance or direct fuel oil cash assistance to the people of North Sumatra who support it,positive
44,Adjusting the price of fuel oil is the right step for the government and we must support the voices of the people of North Sumatra,positive
2679,the government has accelerated the distribution of direct fuel oil cash assistance to the people of North Sumatra,positive
572,"the government needs to make adjustments to the price of fuel oil for the welfare of the people, the government's policy is right in North Sumatra",positive
234,let's all support the adjustment of fuel prices due to the adjustment of subsidized fuel prices by the government to adjust world fuel prices so that the allocation of subsidies can be more targeted,positive
418,"direct fuel oil cash assistance is effective in protecting people's purchasing power, the government is taking the right steps",positive
242,"Fuel subsidies are a burden on the State Budget, adjusting fuel prices is the right step for the West Java government",positive
1078,support from the people of East Nusa Tenggara regarding government policies in distributing direct fuel oil cash assistance so that it is right on target,positive
1127,the government's policy of diverting fuel subsidies to direct cash assistance is very appropriate in realizing the use of subsidies that are right on target for North Sumatra,positive
2509,the government accelerated the distribution of fuel oil cash direct assistance to the people of Jambi,positive
2742,the Indonesian government distributes fuel oil cash assistance quickly and on target in Banten,positive
1259,"there is no need for us to make a fuss over a demonstration against the increase in fuel prices, the government is adjusting the price of fuel oil so that the subsidies are right on target for the underprivileged.",positive
1869,signaling the government to immediately adjust the price of fuel PMKRI general secretary asked students to strictly guard,positive
2100,fuel oil direct cash assistance forms the government's alignment with the people of Bali's voice evenly,positive
1281,"the government's policy of diverting fuel subsidies to direct cash assistance has really really helped the economy of the people of West Papua, who have received bltbbm",positive
1187,the Jokowi government accelerates the distribution of direct fuel oil cash assistance to the people of North Sumatra,positive
1157,"the government's policy of adjusting fuel prices is very appropriate in maintaining Indonesia's economic stability, supporting the adjustment of fuel prices in North Sumatra",positive
113,the government made adjustments to the price of fuel oil in order to realize the use of subsidies that are right on target to support the adjustment of the price of fuel oil in North Sumatra,positive
1526,"Bangka Belitung Archipelago Due to world oil price fluctuations, the government's fuel price adjustments are correct",negative
1760,the government will distribute fuel oil cash assistance quickly and precisely to achieve health goals for the people of East Nusa Tenggara,positive
652,"direct cash assistance from fuel oil, the government's efforts to maintain the purchasing power of the people of West Papua, support the adjustment of fuel prices so that subsidies are right on target",positive
290,direct cash assistance is one of the compensation for adjusting the price of Sulawesi's fuel oil while supporting government policies,positive
924,willing to stand in line to reduce the burden of government fuel subsidies,positive
489,"to increase people's purchasing power, the government diverted fuel subsidies into social assistance funds for social assistance",positive
746,let's all support the adjustment of fuel prices due to the adjustment of subsidized fuel prices by the government to adjust world fuel prices so that the allocation of subsidies can be more targeted,positive
1217,the adjustment of fuel prices by the government is appropriate,positive
686,the government ensures direct cash assistance for phase II fuel oil will be liquid starting november,positive
488,"direct fuel oil cash assistance is one of the compensation for adjusting the price of fuel oil from the government, thank you Pak Jokowi, Central Java",positive
1255,the government was able to maintain the economy amid adjustments to the price of fuel oil in West Sumatra,positive
2085,"All economists agree that thanks to the social bearing policy, Jokowi Ma'ruf's fuel oil is a form of the government's partiality for the people, especially the poor, Chandra Liow Reyhan Minyakrasaair",negative
2063,the government was able to maintain the economy amid adjustments to the price of fuel oil in south sulawesi,positive
502,"From the explanation, we should have understood that the government's policy in setting new fuel prices was based on the interests of the people of North Maluku, Ternate",positive
1529,"the increase in fuel oil is still the amount that is borne by the government, the rest is diverted to social assistance and Pancasila BLT",positive
2218,"the government must make adjustments to the price of fuel oil in order to contain inflation, which has a far greater cost impact",positive
398,It seems like the government can't do it if it doesn't make its citizens suzaaah the price of fuel oil goes up residents move to take public transportation eh now the Transjakarta regulations are complicated to be the same as the KRL,negative
1032,The government's swollen budget is diverting fuel subsidies into direct cash assistance and BSU Indonesia is good,positive
2761,"for all students in North Sumatra, just be sure to fully support the government's policy of adjusting fuel prices, we must also support it, of course, don't want to be provoked",positive
2936,"Thank you, the government for direct cash assistance, BSU fuel oil, the distribution stage is IDR Jambi",positive
1232,the Jokowi government accelerates the distribution of direct fuel oil cash assistance to the people of North Maluku,positive
14,pertamina ensures that subsidized fuel oil stocks are sufficient until the end of the year because the government has also added subsidized fuel oil stocks so you don't worry pertalite is safe,positive
723,BPS reminded the government that the negative impact of rising fuel oil is not over,negative
2704,"Bangka Belitung Islands The adjustment of fuel prices is correct, the government is currently focusing on making programs that are more beneficial to the poor",positive
1601,the government's policy of diverting fuel subsidies is the right step so that fuel subsidies can be enjoyed by all groups and are right on target for Lampung to support fuel price adjustments,positive
2922,"Thank God, the distribution of direct fuel oil cash assistance has made Jambi proud of the government",positive
2442,The government actually wants domestic fuel prices to remain affordable by providing subsidies from the state budget,positive
326,direct cash assistance liquid stage fuel oil starting november Sulawesi is supporting government policies,positive
1858,spi Batanghari Regency appreciates the direct fuel oil cash assistance policy from the government to Jambi province,positive
852,the distribution of direct cash assistance is evidence that the government is protecting vulnerable communities amid fuel price adjustments Jambi support direct fuel oil cash assistance,negative
2730,the government made adjustments to the price of fuel oil so that the use of subsidies would also be more targeted to support the adjustment of the price of fuel oil in North Sumatra,positive
927,The government through the Ministry of Finance ensures that there is no direct fuel oil cash assistance that will be distributed in October. The disbursement of the new phase of fuel oil cash assistance will be distributed in November. poor and vulnerable,negative
727,"The government is currently working on a revision of the Presidential Decree on the provision of distribution & retail selling price of fuel oil, which regulates restrictions on recipients of subsidized fuel oil and assignments so that the types of subsidized diesel and pertalite are more targeted.",positive
2487,"so that the state budget is not broken, the government needs to adjust the price of fuel oil by reducing subsidies in Jambi",positive
762,Jambi residents also support government policies. Residents are very enthusiastic about receiving direct fuel oil cash assistance,positive
1512,The transfer of fuel subsidies is the last option taken by the special regional government of Yogyakarta,positive
683,a number of observers considered that the policy of distributing social support in the form of direct cash assistance which the government had recently intensified to overcome the impact of adjusting fuel prices was very appropriate after the official adjustment of fuel prices,positive
688,the Jokowi government accelerates the distribution of direct fuel oil cash assistance to the people of Jambi,positive
457,distribution of fuel oil cash direct assistance as evidence of the government protecting vulnerable communities amid adjustments to Banten's fuel prices,negative
1788,the government was able to maintain the economy amid the adjustment in the price of Sulawesi's fuel oil while supporting government policies,positive
427,the adjustment of fuel oil by the government is correct so that subsidies are right on target to support Lampung,positive
682,the demonstration against the increase in fuel oil was not heard by the student government and had to rally more force,positive
2102,the government to adjust the price of fuel oil is right on target in Banten,positive
346,President Jokowi said that the distribution of direct cash assistance from fuel oil reached Sulawesi while supporting government policies,positive
1341,the government accelerated the distribution of direct fuel oil cash assistance to the people of West Sumatra,positive
141,"The people of Medan, North Aumatera, support the increase in fuel prices. They believe in government policies to build a more advanced Indonesia",positive
2523,"fuel price adjustments are made so that the subsidy budget is diverted to more useful sectors such as education, health and infrastructure, let's support the policies of the West Kalimantan government",positive
2066,the government was able to maintain the economy amidst adjustments in fuel prices,positive
2490,the provincial government of west java has poured out a budget of rp billion to control inflation which will later be used for direct cash assistance and fuel subsidies for fishermen,positive
2531,the government will provide direct cash assistance to orphans of the Sulawesi community while agreeing to a policy of adjusting fuel oil,positive
615,The government has made policies with careful consideration to support the adjustment of fuel prices for North Sumatra,negative
778,the government will provide compensation for adjusting the price of fuel oil with Papua's social protection support,positive
507,"alhamdulillah, direct cash assistance, fuel subsidies from the government, will soon be heard by the people of North Sumatra",positive
2891,the central government encourages regional governments to hasten the realization of regional budget expenditures to tackle inflationary shocks due to rising fuel prices,negative
569,"kangkung, an environmentally friendly vehicle, hello UPNVJ student family, who here doesn't know the impact of emissions from fossil-powered vehicles, the increase in fuel oil and emissions from fossil-powered vehicles has made the government and the public start looking at electric-powered vehicles",positive
2600,"The adjustment of fuel oil by the government is very appropriate for the welfare of the people of Indonesia, East Nusa Tenggara",positive
1239,"the government's policy of adjusting fuel prices is very appropriate in maintaining Indonesia's economic stability, supporting the adjustment of fuel prices in North Sumatra",positive
175,"We fully support the government's policy of increasing the price of fuel, the people of Sulawesi are supporting the policy of adjusting fuel prices",positive
121,the government's policy of adjusting the price of fuel oil is very appropriate to support the adjustment of the price of fuel oil in North Sumatra,positive
1235,the government is making adjustments to the price of fuel oil so that the use of the subsidy is more targeted to support the adjustment of the price of fuel oil in North Sumatra,positive
783,the government diverted some of the fuel subsidies for aid that was more targeted at Jambi,positive
2328,Puan Maharani received complaints from a rice trader named Agus who complained about the increase in fuel prices that had recently been signed by the government,negative
206,The adjustment in the price of fuel oil is the government's commitment to realize the use of subsidies that are right on target to support the adjustment in the price of fuel oil in North Sumatra,positive
1972,"almost a million people have received direct fuel oil cash assistance from the government, this amount has more or less reached the target, while wage subsidy assistance has reached",positive
1093,the government made adjustments to the price of fuel oil to contain inflation in Sulawesi while supporting the policy of adjusting fuel prices,positive
1647,the government made adjustments to the price of fuel oil so that Indonesia's economic stability was maintained and supported the adjustment of fuel prices for North Sumatra,positive
1917,"president jokowi said that the distribution of direct fuel oil cash assistance had reached a percent, in addition to the government's direct fuel cash assistance, it also accelerated the distribution of bsu",positive
1244,"Horass, this is the reason why fuel oil is rising when oil prices are down, the people of North Sumatra must be smart, let's support government policies",positive
934,the distribution of direct cash assistance is evidence that the government is protecting vulnerable communities amid adjustments to the price of fuel oil in Central Sulawesi,negative
2064,the government was able to maintain the economy amid adjustments to the price of fuel oil in south sulawesi,positive
847,the government directly distributes fuel oil cash assistance to the people of West Kalimantan,positive
2379,democrats ask the government to be wiser in making policies because right now the people are having a hard time due to rising fuel prices ahy a firm leader mm,negative
