,tweet,sentimen
1351,Indonesian government distributes fuel oil cash assistance quickly target Banten,positive
563,The people Riau Islands support government's effort protect community providing direct fuel oil cash assistance,positive
1076,direct fuel oil cash assistance step taken government maintain purchasing power le fortunate Bangka Belitung Islands,positive
1317,government accelerated distribution direct fuel oil cash assistance people North Sumatra,positive
2,"government add fuel subsidy end year government plan increase pertalite quota much 1 million kiloliter 1 million kiloliter diesel end, ministry Energy Mineral Resources also ensures purchase limited target",positive
799,distribution direct fuel oil cash assistance proof government care people Riau Islands,positive
85,government's policy channeling direct fuel oil cash assistance appropriate helping community's economy support distribution direct cash assistance North Sumatra,positive
333,also true government's move increase price fuel oil make company consider WFH option working calculator,positive
107,"Thank you, government East Nusa Tenggara helpful grateful distribution direct fuel cash assistance",positive
204,The government revising regulation regarding distribution subsidized fuel oil expected bring significant change distribution subsidized fuel oil problematic & rare regions.,positive
148,"Fuel subsidy burden State Budget, adjusting fuel price right step West Java government",positive
578,government accelerates distribution direct oil fuel cash assistance special region Yogyakarta oil fuel cash assistance Yogyakarta,positive
554,"East Nusa Tenggara, government belief Jokowi speed distribution direct fuel oil cash assistance community",positive
906,"The government currently distributing subsidy transfer fuel oil three type assistance, two direct cash assistance BLT fuel oil BSU wage subsidy assistance nominal value Rp.",positive
685,"Bhabinkamtibmas personnel Medan Kota Police, An Bripka Rully, monitored gas station located Jl. Merbabu, Medan, relation increase subsidized fuel price raised government anticipation long queue",negative
1010,"support government adjust fuel price welfare Indonesian people, Jambi's strong Indonesian economy",positive
233,"Fuel subsidy intended people need them, far, fuel subsidy enjoyed upper class, East Nusa Tenggara resident support government policy.",positive
1409,president joko widodo ensures direct cash assistance blt fuel oil complete distribution end year done government's effort maintain people's purchasing power,positive
80,Adjusting price fuel oil right step West Java government,positive
667,We definitely support government's policy regarding risk rich fuel oil,positive
916,"KSP main expert, Edy Priyono, said government's hard work controlling inflation central regional level succeeded maintaining stability food price increase fuel prices.",negative
529,"adjustment fuel, government remains committed keeping buying le fortunate people Bangka Belitung Islands",positive
19,benefit direct fuel oil cash assistance lighten community fluctuation rising global prices. This government's way providing breakthrough people uncertain economic condition providing compensation form best Pertamina fuel direct cash assistance extraordinary Pertamina service,positive
1282,government provides direct fuel oil cash assistance poor citizen South Sumatra,negative
96,"government made adjustment price fuel oil order realize use subsidy right target North Maluku, Ternate",positive
1135,held mass action Thursday Banjarmasin demanding government cancel increase fuel price,positive
178,Bengkulu resident support direct fuel cash assistance. Let's wise use direct cash assistance government,positive
108,"Fuel subsidy burden State Budget, adjusting fuel price right step Central Java government",positive
670,"government repeatedly said subsidy target again, using government's logic fuel oil go today first give subsidy rich, government action students, workers, farmers, fishermen, ojol",positive
501,"In order avoid inflation, adjustment fuel price right policy Maluku government",positive
974,thank government assistance direct cash assistance Jambi fuel oil terimo direct cash assistance,positive
1262,The government provides direct fuel oil cash assistance poor people Riau Islands,negative
511,government able maintain aceh's economy supporting fuel price adjustment,positive
1,"In order ensure availability subsidized fuel oil, government officially increased pertalite diesel quota October, addition pertalite much million KL diesel much million KL",positive
487,It's true fast move government received direct cash assistance Voice Aceh,positive
219,North Kalimantan resident fully support government's policy adjusting price fuel oil divert useful sector,positive
1384,president jokowi said nationally distribution direct cash assistance blt fuel oil far reached percent,positive
1243,government continues distribute direct fuel oil cash assistance people need Jambi news,positive
846,The government announced transfer fuel subsidy carried subsidy provided government target le fortunate,positive
342,distribution direct fuel oil cash assistance evidence government protecting vulnerable community amid adjustment fuel price West Sumatra,negative
893,"get wrong increase price subsidized fuel oil, government trying control volume quota consumer subsidized fuel oil",negative
1367,"member commission vii parliamentary faction considered plan convert lpg electric stove simple providing electric stove, asked government wiser making policy currently people hard time due rising fuel price",negative
161,government continues accelerate distribution direct fuel oil cash assistance community. This social assistance aim ease economic burden maintain purchasing power vulnerable poor household result rising fuel price khepo gk,negative
711,fuel oil direct cash assistance help people let's support East Nusa Tenggara support government direct fuel cash assistance program,positive
808,government ensure distribution direct fuel oil cash assistance right target; government definitely prioritize welfare people East Nusa Tenggara,positive
540,government's policy diverting fuel subsidy direct cash assistance appropriate order realize use subsidy right target North Sumatra,positive
361,The government's step diverting fuel subsidy right West Kalimantan,positive
666,support government's direct fuel oil cash assistance phase one achieve percent liquidation second phase starting november Jambi,positive
471,"""Hopefully social assistance help relieve protect community,"" said Sri Mulyani",positive
818,government taking number way ensure assistance right target september cash direct assistance transfer fuel subsidy phase disbursed rp trillion million beneficiary family,positive
113,supportive government's policy adjusting price fuel special region Yogyakarta,positive
347,direct fuel oil cash assistance evidence government's partiality small community Jambi,negative
231,"Come on, wise, take advantage direct cash assistance government, people Indonesia, support social assistance, direct fuel oil cash assistance right target, West Sumatra",positive
1325,"Adjusting price fuel oil best way, let's support government",positive
958,"finally government distributed direct fuel oil cash assistance people West Papua, received bltbbm",positive
253,direct cash assistance liquid fuel oil middle lower class people Riau support government policy,positive
412,"The government made adjustment fuel price previously experienced increase price first type fuel oil, lowered via",positive
1015,"It believed government overcome economic problem amid current adjustment fuel prices, people Banten fully support",positive
1290,Adjusting fuel price best way support Banten government,positive
575,october fuel oil thanks government,positive
215,Aceh News The government thought carefully adjusting price fuel oil,negative
695,"steady, government still care people special region Yogyakarta, price fuel oil Yogyakarta",positive
491,president joko widodo repeatedly encouraged local government provide transportation subsidy reduce inflationary shock due rising fuel price,negative
45,Lampung appreciates government's policy direct fuel oil cash assistance,positive
1473,"In anticipation fluctuation world crude oil prices, Indonesian government considered appropriate adjusts price fuel oil, maintain purchasing power people Bali, direct cash assistance provided West Papua",negative
1392,government cancel increase price fuel oil next day government cancel electric stove program next day least money procuring wave check,negative
55,"The incompetent management state budget led government issue policy increasing fuel price proportional wage worker different region still quite low, even waste state budget",negative
1355,"soaring world oil price make government need adjust price fuel oil state budget broken. right decision, yes good future indonesia, banten",positive
520,high rate inflation government treat fuel price adjustment,positive
678,distribution direct cash assistance evidence government protecting vulnerable community amid fuel price adjustment struggling Maluku,negative
692,The government currently preparing strategy channeling direct fuel oil cash assistance people Jambi support,positive
676,according quick appropriate step taken government overcoming impact rising fuel price,positive
1430,small community region support government policy transferring fuel subsidy key keep working unlike people Jakarta actually get involved demonstration forget obligation work,negative
1286,government moved swiftly distribute direct fuel oil cash assistance people Suara Aceh,positive
224,important government change pattern receiving fuel subsidy order avoid group people afford enjoy fuel subsidy following recognition member public,positive
921,adjustment reasonable fuel price carried Jambi government,positive
465,The Jokowi government speed distribution direct fuel oil cash assistance people Maluku,positive
218,"direct cash assistance fuel oil one compensation adjusting price fuel oil government, thank Mr. Jokowi, North Maluku, Ternate",positive
579,"fuel price adjustment made subsidy budget diverted useful sectors, Sulawesi currently supporting government's step",positive
722,The people Medan City support government adjusting fuel price subsidy right target North Sumatra,positive
1047,The government provides direct fuel oil cash assistance underprivileged resident North Sumatra,positive
445,direct fuel oil cash assistance form government concern community,positive
785,The government successful containing inflation thanks adjustment price Banten's fuel oil,positive
1036,government distributes direct cash assistance fuel oil South Sumatra government appreciation,positive
568,Jokowi government accelerates distribution direct fuel oil cash assistance people Central Java,positive
629,assalammualaikum good evening fuel oil price adjustment wise using vehicle let's use mean transportation provided government get stuck either ok,positive
613,"everywhere, fuel oil expensive, people definitely government's fault",negative
572,"hello people East Nusa Tenggara, worry, Lee, latest price list issued government, okay, let's use fuel wisely",positive
1098,Millions people received direct cash assistance fuel oil Bali government,positive
1103,"support government diverting fuel subsidy realize principle justice, let subsidy common people benefit rich, government's policy right, North Sumatra",positive
438,The government ensures fuel adjustment subsidy given le fortunate Bangka Belitung Islands,positive
1433,"government's policy regarding adjusting price fuel subsidy received support truck drivers, common people supported effort president subsidized fuel oil right target, diesel price still enthusiastic working",positive
759,distribution direct fuel cash assistance government's commitment realize use targeted subsidy support distribution direct cash assistance North Sumatra,positive
1406,"closed subsidy method make easier implement distribution subsidized fuel oil target, revising presidential regulation important make happen, support right step government",positive
798,direct fuel oil cash assistance proof government protects community,positive
981,"The government made adjustment price fuel oil order contain inflation, much greater cost impact, support adjustment fuel price",positive
330,Jambi resident also support President's government policy directly intervene provide direct fuel oil cash assistance deserving recipient,positive
1362,"distribution direct fuel cash assistance postal worker went directly elderly, thank God, got direct cash assistance fuel delivered homes, need queue, people received direct cash assistance fuel oil enthusiastically welcomed PT.",positive
298,The government provide compensation West Sumatra Social Security Administration adjustment price fuel oil,positive
184,Adjusting fuel oil right step taken government subsidy right target support Lampung,positive
1439,The government claim recipient direct fuel oil cash assistance exceeded million,positive
1395,"let's support government, sure direct cash assistance fuel oil",positive
1366,would happen government subsidized car engine fuel oil set world price creative smile like talk demonstration,positive
918,people must unite support government policy related adjusting price fuel oil whose aim create prosperity justice small community Maluku,negative
1394,advanced Indonesia support government direct fuel oil cash assistance,positive
1321,Banten fully support government's step adjusting price subsidized fuel oil avoid negative impact state budget crisis,negative
784,Indonesian people strongly support government's policy adjusting price fuel oil support adjustment price fuel oil North Sumatra,positive
1504,"good, mean people aware enthusiastic helping government buying subsidized fuel oil, hopefully soon reduce burden state well",positive
838,"adjustment fuel prices, government provide compensation Sulawesi Perlinsos currently supporting government policy",positive
1464,"Thank God, distribution direct fuel oil cash assistance made Jambi proud government",positive
1128,difficult wanting understand confused considering many contradiction would nice u try understand even though confusing muhimmah,negative
844,pt po indonesia Persero received target government distribute fuel oil cash assistance two week throughout indonesia currently po indonesia focus distribution remote frontier area,negative
1436,what's going Indonesia price fuel oil still high price oil fallen much taking advantage current government cc bro oil price fell lowest level since january,positive
1267,"moving refuel Vivo, quiet before, long queue motorcycle spreading. This could form people's protest government, price.",negative
47,providing direct fuel cash assistance umkm bsu direct cash assistance community form government concern relieve people West Kalimantan,positive
1001,"government able maintain economy amid adjustment price fuel oil, Jambi supported adjustment price fuel oil",positive
1189,"I'm sorry government, said heavy pensions, civil servants, subsidy fuel, etc., uh, said, state budget surplus, uh, keep adding debt, ahh, reach brain, please, sir, let's switch private fuel oil.",negative
220,"Laws Indonesia like sewing needles, blunt down, well rising fuel oil, difficult, forgetting gasoline, government assistance can't evenly distributed, make people jealous.",negative
489,Jokowi government accelerates distribution direct fuel oil cash assistance people Aceh,positive
381,president jokowi ensures distribution government assistance city Ternate run smoothly Jambi support direct fuel oil cash assistance,positive
539,"With existence direct fuel oil cash assistance, help community dealing fuel price adjustment carried East Nusa Tenggara government",positive
1058,"distribution direct fuel oil cash assistance government almost evenly distributed, let's make Jambi successful",positive
408,"East Nusa Tenggara, party support regret fuel prices, government care common people",negative
703,majority support agrees social bearing policy fuel oil form government's alignment people Aceh,positive
1280,government provides direct fuel oil cash assistance poor people Aceh voice,negative
140,adjustment price scarce fuel oil right government central sulawesi,positive
632,impact adjustment fuel price government provide compensation West Kalimantan Youth Social Security Agency,positive
477,The government's swollen budget diverting fuel subsidy direct cash assistance BSU Indonesia good,positive
39,Adjusting fuel price reasonable considering global conditions. Let's continue support Banten government's policy,positive
934,government policy adjusting price fuel oil shifting subsidy appropriate u,positive
987,"All economist agree thanks social bearing policy, Jokowi Ma'ruf's fuel oil form government's partiality people, especially poor, Chandra Liow Reyhan Minyakrasaair",negative
519,The government's policy adjusting fuel price right step South Kalimantan,positive
1416,government said realization distribution direct fuel oil cash assistance Tuesday reached million beneficiary,positive
436,one proof government protecting vulnerable people midst adjusting price South Kalimantan fuel oil,negative
1154,government call direct cash assistance fuel oil used buy basic need,positive
1168,democrat ask government wiser making policy currently people hard time due rising fuel price ahy firm leader,negative
425,The government Ministry Finance ensures direct fuel oil cash assistance distributed October. The disbursement new phase fuel oil cash assistance distributed November. poor vulnerable,negative
656,"The government say fuel subsidy misdirected rich, price fuel go up, poor people suffer like fried food seller mother sell market?",negative
1493,The government's seriousness limiting subsidized fuel oil questionable,negative
1147,Presidential chief staff Moeldoko cite government data record percentage fuel subsidy enjoyed middle rich,positive
58,government accelerated distribution direct fuel oil cash assistance people Steady Banten,positive
241,"We, citizen North Sumatra, fully support government's policy diverting fuel subsidy budget social assistance, welfare Indonesian people",positive
1448,"government, context making easier worker meet daily need result rising fuel prices, distributes first phase BSU, let's see worker said received felt benefit",positive
1501,let's support adjustment fuel price due adjustment subsidized fuel price government adjust world fuel price allocation subsidy targeted,negative
655,fuel oil direct cash assistance optimal form government's alignment people Papua,positive
1497,"Halloo, North Sumatra residents, need know together far price fuel oil Indonesia still much cheaper Asean countries, let's support government policy together",positive
56,form government attention direct cash assistance subsidy fuel oil South Sumatra,positive
712,"government continues speed distribution direct fuel cash assistance special region Yogyakarta, direct fuel oil cash assistance Yogyakarta",positive
393,bsu lighten burden worker price fuel oil & nine basic commodity rise current era good collaboration private sector government work hand hand welfare gas worker pol economic recovery,positive
904,"government must make adjustment price fuel oil order contain inflation, much greater cost impact Papua support",positive
728,"direct cash assistance proof government protects community amidst adjustment fuel prices, Jambi cash direct assistance right target",positive
1380,direct fuel oil cash assistance effective helping community,positive
434,government adjusts price subsidized fuel oil diverted right target people Bengkulu support adjustment fuel price,positive
726,government distributes appropriate subsidy right target direct cash assistance Bangka Belitung Islands fuel,positive
553,government's right step adjusting price fuel oil contain inflation East Nusa Tenggara,positive
29,appropriate step policy taken government Jambi support adjustment fuel price,positive
270,"government provides assistance community compensation impact increase fuel well distribution various forms, direct cash assistance people cannot afford wage subsidy assistance worker",positive
985,"The government must make adjustment price fuel oil order contain inflation, much greater cost impact",positive
1456,"increase purchasing power public, government diverted fuel subsidy social assistance fund way, distribution subsidy would targeted received directly vulnerable group people vulnerable social assistance",negative
114,"To contain inflation, government took right steps, namely adjusting Aceh fuel price",positive
1361,adjustment fuel price carefully considered Banten youth government,negative
1140,"government south tangerang city budgeted rp billion distribution direct cash assistance blt fuel oil planned start distributed beneficiary family kpm october,",positive
1341,"The government said fuel subsidy benefit rich, reality, subsidy removed, weak economy hardest hit, nothing done, Indonesia small business brace impact fuel price hike",negative
124,"Bangka Belitung Islands, government succeeded distributing direct fuel oil cash assistance",positive
198,fuel oil cash direct assistance form government attention small community greeting aceh,negative
1133,"country like America Europe started crisis, Russia freeze next winter stopping supply gas energy well food, fuel oil reduced little subsidy, government demonstration ridden desert lizard whose intention destroy country",negative
1254,distribution fuel oil direct cash assistance government's concern economy underprivileged people West Papua received bltbbm,positive
776,government committed maintaining purchasing power le fortunate policy adjusting fuel oil Bangka Belitung Islands,positive
1178,"matter little expensive, important thing help lighten government's burden pay subsidies, shame buy non-subsidized fuel oil",negative
610,The government raised price subsidized diesel fuel oil Pertalite also first non-subsidized since early September,positive
360,Jokowi's performance increased within one week adjusting fuel oil government's large community assistance program,positive
742,"distribution direct cash assistance fuel oil almost evenly distributed, let's support government distributing direct cash assistance fuel oil, Jambi",positive
927,The government able maintain economy amidst adjustment price Riau's fuel oil support transfer fuel subsidy,positive
1257,"In anticipation fluctuation world crude oil prices, Indonesian government considered appropriate adjusts price fuel oil, maintain purchasing power people West Papua, direct cash assistance provided West Papua.",negative
896,already direct fuel oil cash assistance distributed rest government continues boost distribution fuel oil maintain people's purchasing power,positive
364,"The reason high choice social assistance course rational read current context, namely withdrawal fuel subsidy people really need direct assistance government Jokowi's performance increased",positive
513,The government made adjustment price fuel oil contain increasingly high inflation,positive
1266,government along direct fuel oil cash assistance people can't afford cash direct assistance effective target recipient clearly West Java,positive
911,Energy Watch executive director Mamit Setiawan revealed government right regarding distribution fuel subsidy direct cash assistance escorted right target,positive
713,government provides direct cash assistance fuel oil,positive
565,riau island appreciation government provides direct cash assistance fuel oil people,positive
693,distribution direct fuel oil cash assistance evidence government protects community amidst adjustment price fuel oil West Sumatra,positive
789,government's policy diverting fuel subsidy social assistance appropriate use subsidy targeted support adjustment fuel price North Sumatra,positive
61,"direct fuel oil cash assistance government helpful lightening burden community many benefits, steady offering",positive
557,"great, thank you, government provided direct cash assistance West Java fuel oil",positive
1057,"President Jokowi, many million people received direct cash assistance fuel oil, thanks Jambi government",positive
92,This BLT direct cash assistance assistance promised central government community increase fuel oil channeled regional government,positive
887,"To honest, government program setting subsidy target, I think right, possible, setting fuel oil subsidy based price motorbike cars, maybe car buy hundred million motorbikes, several ten million, use pertalite",positive
1210,"many thing force government adjust fuel prices, therefore must understand support north sumatra",positive
826,Fuel oil assistance extraordinary people The people West Papua support government's fuel price adjustment policy,positive
40,"Thank you, government distributed contribution form direct fuel oil cash assistance people need",positive
1032,Appreciation government's appreciation government's appreciation government's appreciation government's appreciation government's appreciation direct fuel oil fuel assistance plan,positive
75,guard Yogyakarta special regional government subsidy price Yogyakarta fuel oil,positive
602,The increase fuel oil follows world oil prices. The transfer fuel subsidy rightly carried central government West Sumatra,positive
1297,"adjustment fuel price correct, people Bengkulu supportive government",positive
752,president jokowi great proof government's commitment helping underprivileged community direct cash assistance fuel oil Bangka Belitung Islands,positive
940,The people East Nusa Tenggara support government adjust fuel price budget absorbed evenly,positive
247,"price fuel oil still reasonable, friends, doubt government adjusting price fuel oil policy, government people believe it, si",positive
665,"directly reviewing distribution direct fuel oil cash assistance, government intervened Jambi",positive
725,"government's move provide direct fuel oil cash assistance greatly eased burden poor, Jambi cash direct assistance right target",positive
810,"adjusting price fuel, government provide compensation social security regulation good, especially since government South Sumatra support government policy",positive
186,"Not BLT, government also provides BSU worker certain criteria, Yogyakarta Special Region, direct cash assistance, Yogyakarta fuel oil",positive
156,"The crisis seems increasingly threatening global economic order, including Indonesia. The government's move divert fuel subsidy social assistance well targeted, thereby maintaining people's purchasing power economy continue run normally.",positive
1061,Aceh News The government able keep economy stable amid adjustment fuel price,positive
312,"Following drop world crude oil prices, member Commission VII DPR RI PKS Mulyanto faction urged government reduce subsidized fuel oil price",negative
8,"currently government increased pertalite quota million KL temporarily prayer plus million KL however, BPH Oil Gas stated would continue monitor distribution subsidized fuel oil right target",positive
1426,Senator Alirman Sori asked government firm distribution subsidized fuel,negative
1377,PKS urge government follow complaint Pertalite fuel oil wasteful,negative
1200,"government's policy correct adjust price subsidized fuel oil, sake distributing subsidy right target, chatter people North Sumatra",positive
580,adjustment fuel price taken reduce inflation Sulawesi supporting government step,positive
1375,time price fuel oil likely smooth last year able raise price met stone government inevitably look alternative whether abundant agricultural product exported discipline etc.,positive
548,government cooperates various element distribution direct fuel oil cash assistance right target special region yogyakarta direct fuel oil cash assistance yogyakarta,positive
891,subsidized fuel oil widely enjoyed rich even though government issued subsidy budget aimed helping poor unable,negative
483,"continue seek employment community regarding adjustment fuel prices, government must take right step",positive
1109,government able maintain economy amidst price adjustment fuel oil Riau Islands,positive
1431,direct fuel oil cash assistance form success Jambi's information government,positive
601,"Direct cash assistance right target, people North Kalimantan grateful direct cash assistance adjustment fuel price government",positive
1069,thank government direct cash assistance North Maluku fuel,positive
456,distribution direct cash assistance evidence government protecting vulnerable community amid adjustment price fuel oil Central Sulawesi,negative
686,let's support regulation subsidized fuel oil deputy chairman commission VII DPR Ri Maman Abdurrahman encourages government change method open subsidy closed subsidy fuel subsidy launched government right target,positive
746,"distribution direct cash assistance proof government protects vulnerable community special region Yogyakarta, direct cash assistance fuel oil Yogyakarta",positive
681,The government distributed direct fuel oil cash assistance people need South Sumatra,positive
781,"government's policy adjusting fuel price appropriate maintaining Indonesia's economic stability, supporting adjustment fuel price North Sumatra",positive
195,"The government spent lot money fuel subsidies, time subsidy sector West Kalimantan",negative
427,policy adjusting price fuel oil common good targeted adjustment price fuel oil right step government West Nusa Tenggara Youth Association welfare Indonesia,positive
535,Jokowi government accelerates distribution direct fuel oil cash assistance people West Sumatra,positive
1445,"It's like electric stove project canceled government, right?",positive
597,"support government achieve justice, adjusting price fuel oil appropriate",positive
621,"Suanazara's podcast, difference subsidy compensation, government adjusted fuel price behind it, story subsidy compensation, difference subsidy compensation?",negative
461,West Papua wondama bay district government allocates budget IDR billion change APBD social protection spending order deal regional inflation adjusting subsidized fuel price,positive
642,All economist agree policy supporting social fuel oil form government's alignment people Papua,positive
761,government's policy diverting fuel subsidy right step fuel subsidy enjoyed group right target Lampung support fuel price adjustment,positive
1191,"excitement yellow pertalite fuel oil said similar premium netizens drain tank, wow that's true, government deceiving extorting people",positive
1376,president jokowi ensures distribution government assistance city ternate run smoothly president said nationally distribution direct cash assistance blt fuel oil far reached,positive
1271,behind adjustment price fuel oil strong commitment government organize postal subsidy riau bdlau,positive
983,"solid, government succeeded direct fuel oil cash assistance program, special region Yogyakarta, Yogyakarta fuel oil direct cash assistance",positive
1350,Adjusting price fuel oil right step government avoid state budget crisis Bangka Belitung Islands,positive
401,government diverted fuel subsidy appropriate assistance riau island,positive
1442,The transfer fuel subsidy direct cash assistance government's effort help lower-class people able access fuel oil targeted manner.,positive
828,"government guarantee people social security regulations, let's support government's policy adjusting fuel prices, greeting people East Nusa Tenggara",positive
899,"price subsidized fuel oil determined pertamina world oil price fall, non-subsidized oil ensured also decrease, different subsidized fuel oil whose price determined economic price government policy",positive
1468,"Sri Mulyani said government must provide social assistance result increase fuel price Central Kalimantan, Central Kalimantan, support adjustment fuel price appropriate policy",positive
672,government carefully studied price adjustment Jambi fuel oil,negative
1429,"midst increase fuel prices, one resident support government's policy. He said even though diesel fuel increased, still enthusiastic working without protesting.",positive
823,government continues protect public distributing direct cash assistance BSU amid adjustment price Gorontalo fuel oil,positive
1139,The price fuel oil America authority Indonesian market. It still benefit price fuel oil regulated government able maintain price stability,positive
1083,government able maintain economy amid price adjustment Aceh's sound fuel,positive
881,"The government must make adjustment price fuel oil order contain inflation, much greater cost impact West Sumatra",positive
1357,The government's move best people East Nusa Tenggara support government policy ready adjust fuel price,positive
641,government's step adjust price fuel oil appropriate,positive
259,Direct cash assistance one compensation adjustment Riau's fuel price support government policy,positive
1306,"state budget broken, government need adjust price fuel oil reducing Central Java subsidy",negative
773,direct fuel oil cash assistance form government concern people Bangka Belitung Islands,positive
824,"The government ensures direct cash assistance liquid fuel oil starting November, Gorontalo",positive
443,"price soybean since increase price fuel oil continued soar break Rp. 1,000 per kilogram figure, tempe producer Central Lampung complained condition.",negative
867,"The government's direct cash assistance considered sufficient help people affected increase fuel prices, Mamit said future government must continue provide stimuli, especially order improve economy vulnerable groups.",negative
251,"Come on, wise, direct cash assistance BLT government one compensation adjusting price fuel oil East Kalimantan",positive
411,president jokowi's visit north moluccas directly involved distribution direct fuel oil cash assistance evidence government protecting vulnerable community amid price adjustment fuel west papua october,negative
536,The government's policy diverting fuel subsidy direct cash assistance appropriate realize use subsidy right target North Sumatra,positive
249,"decision-making government happy, must involvement economist course adjustment fuel price benefit Indonesian people prosperous",positive
1052,government ensures distribution direct fuel oil cash assistance run smoothly accelerated Jambi,positive
847,"Previously, government announced transfer fuel subsidy carried subsidy provided government targeted",negative
760,The community grateful government distribution direct fuel oil cash assistance support distribution North Sumatra cash direct assistance,positive
1399,"palace ensured demand demonstrator protest rise fuel price paid attention government, sincerely prioritizing people",positive
426,"increase people's purchasing power, government diverted fuel subsidy social assistance fund social assistance",positive
1364,"that's right, bbm lpg tdl basic vital primary need life life many people, everything concern life many people need fully controlled government cause social turmoil inequality.",positive
546,The transfer subsidized fuel oil direct cash assistance government's effort help people support distribution North Sumatra cash direct assistance,positive
1332,government provides direct fuel oil cash assistance poor citizen,negative
1335,"thank God, finally government started distributing direct fuel oil cash assistance motorcycle taxi driver SMEs liquidated October month supporting distribution direct cash assistance North Sumatra",positive
458,"adjusting price fuel oil way save state budget country's economy, right decision, really help underprivileged, great, government support",positive
1256,government provides direct fuel oil cash assistance poor people Central Java speak,negative
820,support government's direct fuel oil cash assistance phase one reach percent liquidation second phase starting november west papua,positive
879,chairman parliament ri puan maharani work visit traditional market pondok gede bekasi puan received complaint rice trader named agus complained increase price fuel oil recently signed government,negative
946,"The government diverted fuel subsidy maintain purchasing power poor West Papua, September",negative
862,good news u government issue targeted subsidy arrangement make le fortunate people able enjoy use subsidized fuel oil,positive
704,social bearing policy fuel oil form government's alignment people Bangka Belitung Islands,positive
1269,"Thank you, government, people West Papua greatly helped disbursement direct fuel cash assistance",positive
512,government continues protect people aceh supporting adjustment fuel price,positive
1042,The government aggressively distributing fuel oil direct cash assistance people North Sumatra support,positive
817,The government made adjustment price fuel oil based careful consideration people Banten,negative
1449,The government chosen right step adjusting fuel price Maluku One Taste,positive
431,"The government dispenses IDR trillion social assistance, signal price fuel oil getting stronger",positive
194,"The Bangka Belitung Islands extraordinary, government re-issued phased fuel oil cash assistance",positive
240,The adjustment fuel oil planned carefully government people feel positive impact Bangka Belitung Islands,positive
1319,government provides direct fuel oil cash assistance people can't afford bali,positive
924,government able distribute direct fuel oil cash assistance short time,positive
1441,"government must also restore culture walking & public transportation culture people's activity disrupted due revocation fuel subsidies, improve public transportation & sidewalk people comfortable using",positive
1073,We North Maluku fully support government's effort distribute direct fuel oil cash assistance,positive
1149,social bearing fuel price adjustment form government's support people flash news watch full,positive
49,government officially increase quota subsidized fuel oil end year aceh proud,positive
1499,"Horass, reason fuel oil rising oil price down, people North Sumatra must smart, let's support government policy",positive
516,The government continue oversee distribution direct fuel oil cash assistance enjoyed people Bangka Belitung Islands,positive
609,"let's help reduce government subsidies, let's buy vivo shell BP only, non-subsidized price several type fuel oil, Pertamina shell BP Vivo Compact, go per Saturday October, new price fuel oil displayed gas station.",positive
1339,"With direct fuel oil cash assistance, course helpful South Kalimantan government support",positive
638,government lowered first fuel price Rp,positive
1450,The increase price fuel oil caused number component good service experience price change nominal contract considered longer profitable,positive
